id,Null,uptime,country,location,ships,distinct,contributor,status,timezone,time,date
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:52
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:52
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:52
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:52
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:52
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:52
2061,,100 %,  Belgium,Ostend,50,0,,Online,India Standard Time,12/10/2021,18:18:52
2276,,100 %,  Belgium,Schilde,311,15,,Online,India Standard Time,12/10/2021,18:18:52
3152,,100 %,  Belgium,Zeebrugge,203,54,Citymesh,Online,India Standard Time,12/10/2021,18:18:52
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:52
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,12/10/2021,18:18:52
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:52
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,12/10/2021,18:18:52
2145,,100 %,  Belgium,Antwerp2,499,133,Tresco Engineering,Online,India Standard Time,12/10/2021,18:18:52
2292,,100 %,  Belgium,Gent,364,213,,Online,India Standard Time,12/10/2021,18:18:52
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:52
3249,,100 %,  Belgium,Antwerp,99,0,,Online,India Standard Time,12/10/2021,18:18:52
3459,,100 %,  Belgium,Oostende,82,3,Flanders Marine Institute,Online,India Standard Time,12/10/2021,18:18:52
2127,,100 %,  Belgium,Izegem,70,0,,Online,India Standard Time,12/10/2021,18:18:52
3215,,78 %,  Belgium,Antwerp,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:52
3075,,100 %,  Belgium,Aalst,1,1,,Online,India Standard Time,12/10/2021,18:18:52
2300,,100 %,  Belgium,Antwerp Harbour 1,261,4,www.vemasys.com,Online,India Standard Time,12/10/2021,18:18:52
2404,,100 %,  Belgium,Bruges,186,25,dotOcean,Online,India Standard Time,12/10/2021,18:18:52
2517,,100 %,  Brazil,Belem,190,68,,Online,India Standard Time,12/10/2021,18:18:52
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,12/10/2021,18:18:52
2850,,100 %,  Brazil,Fortaleza,13,13,German Aerospace Center (DLR),Online,India Standard Time,12/10/2021,18:18:52
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
2660,,100 %,  Canada,Sorel-Tracy,13,0,,Online,India Standard Time,12/10/2021,18:18:52
3083,,100 %,  Canada,New Westminster,36,13,,Online,India Standard Time,12/10/2021,18:18:52
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:53
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:53
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:53
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:53
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:53
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:53
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:53
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:53
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:53
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:53
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:53
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:53
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:53
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:53
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:53
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:53
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:53
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:53
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:53
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:53
3152,,100 %,  Belgium,Zeebrugge,203,54,Citymesh,Online,India Standard Time,12/10/2021,18:18:53
3075,,100 %,  Belgium,Aalst,1,1,,Online,India Standard Time,12/10/2021,18:18:53
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:53
2061,,100 %,  Belgium,Ostend,50,0,,Online,India Standard Time,12/10/2021,18:18:53
3249,,100 %,  Belgium,Antwerp,99,0,,Online,India Standard Time,12/10/2021,18:18:53
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,12/10/2021,18:18:53
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:53
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:53
2145,,100 %,  Belgium,Antwerp2,499,133,Tresco Engineering,Online,India Standard Time,12/10/2021,18:18:53
2300,,100 %,  Belgium,Antwerp Harbour 1,261,4,www.vemasys.com,Online,India Standard Time,12/10/2021,18:18:53
2404,,100 %,  Belgium,Bruges,186,25,dotOcean,Online,India Standard Time,12/10/2021,18:18:53
3215,,78 %,  Belgium,Antwerp,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:53
2292,,100 %,  Belgium,Gent,364,213,,Online,India Standard Time,12/10/2021,18:18:53
3459,,100 %,  Belgium,Oostende,82,3,Flanders Marine Institute,Online,India Standard Time,12/10/2021,18:18:53
2276,,100 %,  Belgium,Schilde,311,15,,Online,India Standard Time,12/10/2021,18:18:53
2127,,100 %,  Belgium,Izegem,70,0,,Online,India Standard Time,12/10/2021,18:18:53
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,12/10/2021,18:18:53
2517,,100 %,  Brazil,Belem,190,68,,Online,India Standard Time,12/10/2021,18:18:53
2850,,100 %,  Brazil,Fortaleza,13,13,German Aerospace Center (DLR),Online,India Standard Time,12/10/2021,18:18:53
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:53
2019,,100 %,  Canada,"Victoria, BC",27,2,,Online,India Standard Time,12/10/2021,18:18:53
3201,,100 %,  Canada,Sorel-Tracy,18,2,,Online,India Standard Time,12/10/2021,18:18:53
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:54
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:54
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:54
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:54
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:54
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:54
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:54
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:54
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:54
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:54
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:54
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:54
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:54
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:54
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:54
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:54
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:54
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:54
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:54
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:54
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:54
2061,,100 %,  Belgium,Ostend,50,0,,Online,India Standard Time,12/10/2021,18:18:54
3249,,100 %,  Belgium,Antwerp,99,0,,Online,India Standard Time,12/10/2021,18:18:54
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:54
2300,,100 %,  Belgium,Antwerp Harbour 1,261,4,www.vemasys.com,Online,India Standard Time,12/10/2021,18:18:54
2404,,100 %,  Belgium,Bruges,186,25,dotOcean,Online,India Standard Time,12/10/2021,18:18:54
3215,,78 %,  Belgium,Antwerp,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:54
2276,,100 %,  Belgium,Schilde,311,15,,Online,India Standard Time,12/10/2021,18:18:54
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,12/10/2021,18:18:54
2145,,100 %,  Belgium,Antwerp2,499,133,Tresco Engineering,Online,India Standard Time,12/10/2021,18:18:54
3075,,100 %,  Belgium,Aalst,1,1,,Online,India Standard Time,12/10/2021,18:18:54
2292,,100 %,  Belgium,Gent,364,213,,Online,India Standard Time,12/10/2021,18:18:54
3152,,100 %,  Belgium,Zeebrugge,203,54,Citymesh,Online,India Standard Time,12/10/2021,18:18:54
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,12/10/2021,18:18:54
2127,,100 %,  Belgium,Izegem,70,0,,Online,India Standard Time,12/10/2021,18:18:54
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:54
3459,,100 %,  Belgium,Oostende,82,3,Flanders Marine Institute,Online,India Standard Time,12/10/2021,18:18:54
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,12/10/2021,18:18:54
2850,,100 %,  Brazil,Fortaleza,13,13,German Aerospace Center (DLR),Online,India Standard Time,12/10/2021,18:18:54
2517,,100 %,  Brazil,Belem,190,68,,Online,India Standard Time,12/10/2021,18:18:54
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:54
2593,,100 %,  Canada,Prince Rupert,73,23,,Online,India Standard Time,12/10/2021,18:18:54
3103,,100 %,  Canada,Multiple Locations,118,1,,Online,India Standard Time,12/10/2021,18:18:54
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:55
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:55
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:55
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:55
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:55
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:55
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:55
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:55
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:55
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:55
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:55
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:55
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:55
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:55
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:55
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:55
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:55
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:55
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:55
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:55
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:55
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:55
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:55
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:55
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:55
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:55
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:55
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:55
