,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,county_name,sample_frequency,timestamps,name,units,url,domain,country_code,country_name,original_id,aug_id
50,wikidataId/Q1043492,,,,,,,,,493.0,,,,,,Carmacks,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1043492,50
51,wikidataId/Q1053984,,,,,,,,,16814.0,,,,,,Central Saanich,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1053984,51
52,wikidataId/Q1055838,,,,,,,,,14451.0,,,,,,Brooks,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1055838,52
53,wikidataId/Q10566,,,,,,,,,246376.0,,,,,,Saskatoon,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q10566,53
54,wikidataId/Q1070783,,,,,,,,,437.0,,,,,,Chesterfield Inlet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1070783,54
55,wikidataId/Q1075086,,,,,,,,,13882.0,,,,,,Pembroke,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1075086,55
56,wikidataId/Q1095333,,,,,,,,,1202.0,,,,,,Claremont,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1095333,56
57,wikidataId/Q1099089,,,,,,,,,1508.0,,,,,,Carlyle,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1099089,57
58,wikidataId/Q1099134,,,,,2219.0,,,,,,,,,,Canora,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1099134,58
59,wikidataId/Q1099427,,,,,1126.0,,,,,,,,,,Carnduff,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1099427,59
60,wikidataId/Q1105163,,,,,,,,,,,,,,34467.0,Cochrane,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1105163,60
61,wikidataId/Q1113057,,,,,,,,,16859.0,,,,,,Colwood,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1113057,61
62,wikidataId/Q112975,,,,,,,,,2964.0,,,,,,Enderby,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q112975,62
63,wikidataId/Q1134451,,,,,,,,,372.0,,,,,,Central Butte,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1134451,63
64,wikidataId/Q1134786,,,,,,,,,973.0,,,,,,Carrot River,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1134786,64
65,wikidataId/Q1135242,,,,,359.0,,,,,,,,,,Choiceland,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1135242,65
66,wikidataId/Q1138837,,,,,,,,,20047.0,,,,,,Cranbrook,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1138837,66
67,wikidataId/Q1139747,,,,,,,,,5351.0,,,,,,Creston,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1139747,67
68,wikidataId/Q1142330,,,,,,,,,8524.0,,,,,,"Crystal Beach, Ontario",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1142330,68
69,wikidataId/Q1143653,,,,,,,,,3753.0,,,,,,Cumberland,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1143653,69
70,wikidataId/Q11483763,,,,,,,,,4605.0,,,,,,Gibsons,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q11483763,70
71,wikidataId/Q115788,,,,,,,,,35342.0,,,,,,Langford,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q115788,71
72,wikidataId/Q1173008,,,,,,,,,8457.0,,,,,,Dauphin,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1173008,72
73,wikidataId/Q117978,,,,,,,,,785.0,,,,,,Gilbert Plains,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q117978,73
74,wikidataId/Q117998,,,,,,,,,1145.0,,,,,,Winnipeg Beach,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q117998,74
75,wikidataId/Q118259,,,,,,,,,1265.0,,,,,,Gillam,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q118259,75
76,wikidataId/Q1207513,,,,,,,,,29993.0,,,,,,Leduc,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1207513,76
77,wikidataId/Q1208051,,,,,,,,,5159.0,,,,,,Gananoque,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1208051,77
78,wikidataId/Q1257381,,,,,,,,,2993.0,,,,,,"Houston, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1257381,78
79,wikidataId/Q1259274,,,,,,,,,10200.0,,,,,,"Sechelt, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1259274,79
80,wikidataId/Q1265347,,,,,,,,,4944.0,,,,,,Duncan,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1265347,80
81,wikidataId/Q1276220,,,,,,,,,5708.0,,,,,,Vegreville,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1276220,81
82,wikidataId/Q1305726,,,,,,,,,7425.0,,,,,,"Kimberley, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1305726,82
83,wikidataId/Q1336,,,,,,,,,48664.0,,,,,,Rimouski,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1336,83
84,wikidataId/Q1341278,,,,,,,,,3273.0,,,,,,Marathon,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1341278,84
85,wikidataId/Q1362758,,,,,,,,,7981.0,,,,,,Kirkland Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1362758,85
86,wikidataId/Q1363726,,,,,,,,,28881.0,,,,,,Okotoks,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1363726,86
87,wikidataId/Q1369892,,,,,,,,,18573.0,,,,,,Pitt Meadows,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1369892,87
88,wikidataId/Q1370641,,,,,,,,,598.0,,,,,,Qikiqtarjuaq,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1370641,88
89,wikidataId/Q1380418,,,,,475.0,,,,,,,,,,Colonsay,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1380418,89
90,wikidataId/Q1381013,,,,,1402.0,,,,,,,,,,Creighton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1381013,90
91,wikidataId/Q1381546,,,,,453.0,,,,,,,,,,Craik,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1381546,91
92,wikidataId/Q1381553,,,,,770.0,,,,,,,,,,Cudworth,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1381553,92
93,wikidataId/Q1381557,,,,,579.0,,,,,,,,,,Cupar,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1381557,93
94,wikidataId/Q1383701,,,,,,,,,4174.0,,,,,,"New Maryland, New Brunswick",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1383701,94
95,wikidataId/Q1386148,,,500.0,,,,,,,,,,,,"Tête Jaune Cache, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1386148,95
96,wikidataId/Q138841,,,,,20783.0,,,,,,,,,,Beloeil,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q138841,96
97,wikidataId/Q138973,,,,,,,,,2114.0,,,,,,Ste. Anne,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q138973,97
98,wikidataId/Q138976,,,,,1023.0,,,,,,,,,,Ste. Rose du Lac,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q138976,98
99,wikidataId/Q138997,,,,,,,,,5050.0,,,,,,Montreal West,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q138997,99
100,wikidataId/Q139019,,,,,9485.0,,,,,,,,,,Bois-des-Filion,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139019,100
101,wikidataId/Q139027,,,,,,,,,3752.0,,,,,,Beaupré,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139027,101
102,wikidataId/Q139046,,,,,4091.0,,,,,,,,,,Berthierville,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139046,102
103,wikidataId/Q139088,,,,,,,,,20276.0,,,,,,Mount Royal,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139088,103
104,wikidataId/Q139094,,,,,298.0,,,,,,,,,,Belleterre,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139094,104
105,wikidataId/Q139101,,,,,7153.0,,,,,,,,,,Hampstead,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139101,105
106,wikidataId/Q139104,,,,,,,,,85721.0,,,,,,Brossard,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139104,106
107,wikidataId/Q139109,,,,,12011.0,,,,,,,,,,Beauharnois,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139109,107
108,wikidataId/Q1391099,,,,,,,,,5039.0,,,,,,Almonte,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1391099,108
109,wikidataId/Q139190,,,,,,,,,111575.0,,,,,,Terrebonne,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139190,109
110,wikidataId/Q139229,,,,,144746.0,,,,,,,,,,Saguenay,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139229,110
111,wikidataId/Q139231,,,,,,,,,7146.0,,,,,,Baie-Saint-Paul,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139231,111
112,wikidataId/Q139398,,,,,,,,,239700.0,,,,,,Longueuil,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139398,112
113,wikidataId/Q139406,,,,,18200.0,,,,,,,,,,Mont-Saint-Hilaire,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139406,113
114,wikidataId/Q139415,,,,,5419.0,,,,,,,,,,Windsor,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139415,114
115,wikidataId/Q139422,,,,,6354.0,,,,,,,,,,Beauceville,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139422,115
116,wikidataId/Q139427,,,,,,,,,84965.0,,,,,,Repentigny,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139427,116
117,wikidataId/Q139437,,,,,,,,,21861.0,,,,,,Saint-Lambert,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139437,117
118,wikidataId/Q139473,,,,,,,,,161323.0,,,,,,Sherbrooke,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139473,118
119,wikidataId/Q139474,,,,,,,,,26884.0,,,,,,Boisbriand,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139474,119
120,wikidataId/Q139497,,,,,,,,,20312.0,,,,,,Westmount,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139497,120
121,wikidataId/Q139503,,,,,,,,,3823.0,,,,,,Baie-D'Urfé,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139503,121
122,wikidataId/Q139568,,,,,,,,,56363.0,,,,,,Blainville,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139568,122
123,wikidataId/Q139588,,,,,,,,,32448.0,,,,,,Côte-Saint-Luc,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139588,123
124,wikidataId/Q139654,,,,,,,,,21536.0,,,,,,Baie-Comeau,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139654,124
125,wikidataId/Q139694,,,,,,,,,3232.0,,,,,,Richmond,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139694,125
126,wikidataId/Q139714,,,,,6322.0,,,,,,,,,,Amqui,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q139714,126
