,place,1968,1975,1982,1990,1999,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,county_name,sample_frequency,timestamps,name,units,url,domain,country_code,country_name,original_id,aug_id
19,wikidataId/Q193920,60804,62727,63412,66401,73469,78964.0,79379.0,79366.0,80425.0,79426,81376.0,81110.0,81357.0,80831.0,78794,Rueil-Malmaison,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q193920,19
20,wikidataId/Q202565,9061,9869,9930,9715,9522,10904.0,10829.0,10760.0,10690.0,9355,10614.0,10469.0,10268.0,10065.0,8688,Coutances,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q202565,20
21,wikidataId/Q220668,8345,10996,12450,12376,11692,13213.0,13313.0,13663.0,13335.0,12532,12621.0,12806.0,12791.0,13028.0,12679,Roquebrune-Cap-Martin,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q220668,21
22,wikidataId/Q233733,2984,5642,6399,6408,7083,7891.0,7962.0,8045.0,8197.0,8025,8654.0,9053.0,9456.0,9551.0,9482,Ferney-Voltaire,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q233733,22
23,wikidataId/Q23482,889029,908600,874436,800550,798430,,,,,850726,,,,,861635,Marseille,5.875,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q23482,23
24,wikidataId/Q236685,545,712,817,967,1057,1079.0,1094.0,1149.0,1200.0,1225,1297.0,1420.0,1401.0,1393.0,1370,Challex,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q236685,24
25,wikidataId/Q244709,1761,1826,1969,2609,3021,3193.0,3201.0,3207.0,3212.0,3180,3239.0,3222.0,3204.0,3188.0,3119,La Turbie,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q244709,25
26,wikidataId/Q273964,14144,12208,11664,12326,12775,13576.0,14033.0,14220.0,14363.0,13515,13717.0,13410.0,13414.0,13733.0,13625,Beausoleil,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q273964,26
27,wikidataId/Q274290,43754,45440,44626,43675,42753,43133.0,42370.0,42110.0,42041.0,41541,41799.0,41911.0,41795.0,41580.0,41264,Wattrelos,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q274290,27
28,wikidataId/Q288,128120,140686,132209,129509,132820,140252.0,139958.0,138783.0,138588.0,134817,138115.0,138323.0,138150.0,139507.0,136252,Tours,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q288,28
29,wikidataId/Q30974,120471,114834,101945,102723,106592,110276.0,110927.0,111805.0,113128.0,110933,114141.0,114265.0,113406.0,113313.0,110169,Rouen,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q30974,29
30,wikidataId/Q321111,2148,2089,2095,2058,2028,2152.0,2175.0,2177.0,2267.0,2313,2468.0,2497.0,2531.0,2431.0,2271,Breil-sur-Roya,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q321111,30
31,wikidataId/Q32870,5848,7788,8558,9627,9651,9364.0,9312.0,9258.0,9260.0,9286,9406.0,9467.0,9523.0,9564.0,9620,Leers,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q32870,31
32,wikidataId/Q33959,322442,344481,337085,342439,342738,350735.0,352388.0,348556.0,344460.0,343304,348195.0,347798.0,346251.0,347636.0,342522,Nice,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q33959,32
33,wikidataId/Q34001,114547,109553,101602,97746,96984,98774.0,98258.0,96682.0,95813.0,94713,94894.0,95182.0,96530.0,96196.0,96077,Roubaix,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q34001,33
34,wikidataId/Q37776,113220,120315,113283,113828,117733,121012.0,121857.0,121671.0,121391.0,116914,119862.0,120271.0,120832.0,120472.0,116676,Besançon,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q37776,34
35,wikidataId/Q38380,128557,137591,136038,141404,151279,156965.0,155701.0,152969.0,151689.0,147571,153161.0,153472.0,154463.0,155734.0,151520,Angers,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q38380,35
36,wikidataId/Q391365,3673,4765,4777,4755,4557,4766.0,4780.0,4752.0,4789.0,4666,4697.0,4668.0,4718.0,4722.0,4599,Bray-Dunes,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q391365,36
37,wikidataId/Q39984,67187,70527,72259,68676,67304,71526.0,71790.0,73903.0,74445.0,73234,73671.0,74626.0,74326.0,74673.0,74285,Cannes,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q39984,37
38,wikidataId/Q40898,123428,107902,96317,99351,103605,107434.0,107235.0,108172.0,108597.0,105421,107682.0,107334.0,106342.0,106860.0,105162,Nancy,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q40898,38
39,wikidataId/Q41185,110262,119640,114068,112846,113987,113249.0,112478.0,112790.0,112218.0,108954,111808.0,111342.0,110288.0,109750.0,106260,Caen,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q41185,39
40,wikidataId/Q41604,117888,131476,131332,131872,135501,139271.0,137812.0,137375.0,137027.0,133448,136372.0,135843.0,135861.0,135550.0,132874,Amiens,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q41604,40
41,wikidataId/Q41876,154534,178381,177234,180620,187206,188078.0,187650.0,185541.0,184984.0,179992,184652.0,185868.0,186505.0,186971.0,184076,Reims,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q41876,41
42,wikidataId/Q42716,223223,220181,204955,199396,180210,180773.0,178530.0,175940.0,175203.0,171260,173256.0,174587.0,174985.0,173504.0,171057,Saint-Étienne,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q42716,42
43,wikidataId/Q42810,207150,217882,199388,195854,190905,185311.0,182411.0,181332.0,179783.0,175497,176711.0,175788.0,174728.0,175599.0,172366,Le Havre,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q42810,43
44,wikidataId/Q44160,174746,181801,179423,167619,160639,170041.0,168768.0,169010.0,167813.0,164532,166242.0,167168.0,165862.0,167685.0,167479,Toulon,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q44160,44
45,wikidataId/Q46135,49197,59023,71693,82088,82154,89691.0,90197.0,90127.0,90135.0,89985,91315.0,90590.0,90696.0,91780.0,90739,Créteil,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q46135,45
46,wikidataId/Q467020,2582,1828,2171,2592,2885,3504.0,3580.0,3601.0,3605.0,3527,3619.0,3650.0,3709.0,3779.0,3782,Sospel,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q467020,46
47,wikidataId/Q47045,85444,103512,109072,121999,131557,,,,,145022,,,,,146985,Saint-Denis,5.875,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q47045,47
48,wikidataId/Q582,119879,116535,115960,116872,124215,138596.0,139764.0,142552.0,146283.0,145150,146578.0,147940.0,148832.0,150075.0,148665,Villeurbanne,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q582,48
49,wikidataId/Q600164,10178,10120,11661,11048,10775,10261.0,10127.0,10099.0,10089.0,9772,9855.0,9920.0,10026.0,10125.0,10093,Jeumont,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q600164,49
50,wikidataId/Q626537,10128,10485,10915,11320,11952,12238.0,12325.0,12552.0,12592.0,12372,12715.0,12888.0,12650.0,12399.0,12420,Comines,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q626537,50
51,wikidataId/Q6441,161910,191354,197231,207996,225392,254974.0,257092.0,256344.0,258366.0,257351,268244.0,272345.0,276054.0,279845.0,277639,Montpellier,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q6441,51
52,wikidataId/Q647,180943,198305,194656,197536,206229,214813.0,213096.0,211778.0,212229.0,207178,213956.0,215916.0,217309.0,219370.0,215366,Rennes,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q647,52
53,wikidataId/Q6616,71129,81313,79350,78894,83448,91395.0,91901.0,91965.0,91345.0,87697,90625.0,90339.0,90179.0,90115.0,87918,Poitiers,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q6616,53
54,wikidataId/Q6667,2064,1940,1641,1461,1487,1562.0,1581.0,1583.0,1519.0,1446,1393.0,1381.0,1389.0,1379.0,1349,Cerbère,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q6667,54
55,wikidataId/Q6684,862,699,644,634,620,582.0,588.0,594.0,598.0,586,584.0,583.0,586.0,588.0,586,Le Perthus,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q6684,55
56,wikidataId/Q676305,6134,6528,6898,6992,6624,6252.0,6159.0,6110.0,6062.0,5916,6010.0,5959.0,5911.0,5866.0,5749,Delle,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q676305,56
57,wikidataId/Q678525,7102,7269,7186,6456,6069,5795.0,5750.0,5816.0,5892.0,5998,6168.0,6299.0,6346.0,6376.0,6349,Quiévrechain,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q678525,57
58,wikidataId/Q684290,10035,11556,10419,8660,8241,8213.0,8195.0,8219.0,8198.0,8117,8150.0,8054.0,8062.0,8268.0,8397,Mont-Saint-Martin,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q684290,58
59,wikidataId/Q7003,145357,151705,140942,146703,149867,155340.0,155387.0,155460.0,156133.0,151212,155862.0,156270.0,157182.0,157738.0,155114,Dijon,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q7003,59
60,wikidataId/Q731606,817,1044,1199,1523,2153,,,,,4037,,,,,4020,Saint-Georges,5.875,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q731606,60
61,wikidataId/Q82185,73362,79757,75840,71094,76584,80014.0,79521.0,78424.0,77376.0,75170,77629.0,77119.0,77294.0,78026.0,75404,La Rochelle,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q82185,61
62,wikidataId/Q829912,627,679,665,677,565,658.0,703.0,739.0,775.0,759,778.0,798.0,818.0,836.0,818,Saint-Gingolph,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q829912,62
63,wikidataId/Q83236,7745,8393,8746,9701,9830,9514.0,9401.0,9359.0,9378.0,8972,9318.0,9283.0,9295.0,9399.0,8906,Chamonix-Mont-Blanc,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q83236,63
