Title,Price per sq feet,Area,Price,Location
"<a class=""srpTuple__dFlex"" href=""/kukreja-classic-sector-16-sanpada-mumbai-navi-npxid-r316409"" target=""blank"">Kukreja Classic</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-kukreja-classic-sector-16-sanpada-mumbai-navi-499-sq-ft-to-529-sq-ft-npspid-F60714244"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Sector-16 Sanpada</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/laxmi-aangan-diva-mumbai-beyond-thane-npxid-r390859"" target=""blank"">Laxmi Aangan</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-laxmi-aangan-diva-mumbai-beyond-thane-353-sq-ft-to-480-sq-ft-npspid-F62867020"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Diva</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/shapoorji-pallonji-vicinia-chandivali-central-mumbai-suburbs-npxid-r244817"" target=""blank"">Shapoorji Pallonji Vicinia</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-vicinia-chandivali-central-mumbai-suburbs-671-sq-ft-npspid-I61687708"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Chandivali</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/ashakiran-diva-mumbai-beyond-thane-npxid-r391335"" target=""blank"">AshaKiran</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-ashakiran-diva-mumbai-beyond-thane-301-sq-ft-to-475-sq-ft-npspid-N62958720"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Diva</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/jvm-accord-thane-west-mumbai-thane-npxid-r378806"" target=""blank"">JVM Accord</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-jvm-accord-thane-west-mumbai-322-sq-ft-to-323-sq-ft-npspid-J63112372"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Thane West</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/glamour-aishwarya-apartment-new-panvel-mumbai-navi-npxid-r284601"" target=""blank"">Glamour Aishwarya Apartment</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-glamour-aishwarya-apartment-new-panvel-navi-mumbai-373-sq-ft-to-411-sq-ft-npspid-W62345954"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in New Panvel</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/enigma-by-oberoi-realty-mulund-west-central-mumbai-suburbs-npxid-r39974"" target=""blank"">Enigma by Oberoi Realty</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-enigma-by-oberoi-realty-mulund-west-central-mumbai-suburbs-1415-sq-ft-npspid-V58661796"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in Mulund (West)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/nature-land-uran-mumbai-navi-npxid-r389234"" target=""blank"">Nature Land</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/residential-land-plot-for-sale-in-nature-land-uran-mumbai-beyond-thane-121-sq-yard-to-242-sq-yard-npspid-Q62363196"" id=""srp_tuple_property_title"" target=""blank""><h2>Residential land / Plot in Uran</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/vimal-classic-nalasopara-west-mira-road-and-beyond-npxid-r292765"" target=""blank"">Vimal Classic</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-vimal-classic-nalasopara-west-mira-road-and-beyond-370-sq-ft-to-435-sq-ft-npspid-D62103644"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Nalasopara (West)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/riverstone-panvel-mumbai-navi-npxid-r389926"" target=""blank"">Riverstone</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-riverstone-panvel-navi-mumbai-413-sq-ft-to-425-sq-ft-npspid-C62753156"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Panvel</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/parijas-zenith-kalyan-east-mumbai-beyond-thane-npxid-r373656"" target=""blank"">Parijas Zenith</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-parijas-zenith-kalyan-east-mumbai-beyond-thane-483-sq-ft-to-500-sq-ft-npspid-S61798658"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Kalyan (East)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/sai-proviso-county-panvel-mumbai-navi-npxid-r8416"" target=""blank"">Sai Proviso County</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-sai-proviso-county-panvel-navi-mumbai-461-sq-ft-npspid-X62650306"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Panvel</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/sai-proviso-county-panvel-mumbai-navi-npxid-r8416"" target=""blank"">Sai Proviso County</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-sai-proviso-county-panvel-navi-mumbai-608-sq-ft-npspid-K62650308"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Panvel</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/rutu-riverview-classic-kalyan-west-mumbai-beyond-thane-npxid-r279781"" target=""blank"">Rutu Riverview Classic<div class=""srpTuple__ml10""><div class=""rb__goodSmall rb__wrap rb__accent"" font-style=""badges_regular_success"" htmlicon=""★"" variant=""goodSmall""><div class=""badges_regular_success"">4.4</div><i class=""badges_regular_success rb__dynamIcon""> <!-- -->★</i></div></div></a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-rutu-riverview-classic-kalyan-west-mumbai-beyond-thane-413-sq-ft-to-436-sq-ft-npspid-Z62739914"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Kalyan (West)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/drushti-sapphire-ghatkopar-east-central-mumbai-suburbs-npxid-r384627"" target=""blank"">Drushti Sapphire</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-drushti-sapphire-ghatkopar-east-central-mumbai-suburbs-542-sq-ft-to-667-sq-ft-npspid-T63035450"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Ghatkopar (East)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/sai-sastha-samrat-bhandup-west-central-mumbai-suburbs-npxid-r385874"" target=""blank"">Sai Sastha Samrat</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/studio-apartment-flat-for-sale-in-sai-sastha-samrat-bhandup-west-central-mumbai-suburbs-233-sq-ft-to-244-sq-ft-npspid-Z62374886"" id=""srp_tuple_property_title"" target=""blank""><h2>Studio Apartments / 1 RK Flats in Bhandup (West)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/konark-aria-park-mulund-east-central-mumbai-suburbs-npxid-r373570"" target=""blank"">Konark Aria Park</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-konark-aria-park-mulund-east-central-mumbai-suburbs-1001-sq-ft-to-1031-sq-ft-npspid-Y61895002"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in Mulund (East)</h2></a>"
