,time,datetime,LST_Day_1km
291,1602979200000,2020-10-18,2.0300000000000296
292,1603065600000,2020-10-19,10.450000000000045
297,1603497600000,2020-10-24,4.2900000000000205
298,1603584000000,2020-10-25,5.210000000000036
299,1603670400000,2020-10-26,5.4500000000000455
300,1603756800000,2020-10-27,-2.2099999999999795
301,1603843200000,2020-10-28,-2.1899999999999977
302,1603929600000,2020-10-29,3.8700000000000045
313,1604880000000,2020-11-09,-9.409999999999968
315,1605052800000,2020-11-11,2.07000000000005
317,1605225600000,2020-11-13,2.0100000000000477
318,1605312000000,2020-11-14,6.050000000000011
319,1605398400000,2020-11-15,-1.8099999999999454
320,1605484800000,2020-11-16,-1.9699999999999704
327,1606089600000,2020-11-23,-10.20999999999998
329,1606262400000,2020-11-25,-8.189999999999998
330,1606348800000,2020-11-26,-13.009999999999991
331,1606435200000,2020-11-27,-13.529999999999973
334,1606694400000,2020-11-30,-16.029999999999973
337,1606953600000,2020-12-03,-13.849999999999966
338,1607040000000,2020-12-04,-11.689999999999998
339,1607126400000,2020-12-05,-12.489999999999952
342,1607385600000,2020-12-08,-12.75
347,1607817600000,2020-12-13,-21.769999999999982
350,1608076800000,2020-12-16,-17.20999999999998
352,1608249600000,2020-12-18,-21.68999999999997
354,1608422400000,2020-12-20,-11.009999999999991
358,1608768000000,2020-12-24,-18.369999999999976
368,1609632000000,2021-01-03,-24.329999999999984
384,1611014400000,2021-01-19,-16.909999999999968
386,1611187200000,2021-01-21,-12.409999999999968
388,1611360000000,2021-01-23,-3.669999999999959
402,1612569600000,2021-02-06,-15.289999999999964
413,1613520000000,2021-02-17,-21.129999999999967
414,1613606400000,2021-02-18,-7.609999999999957
418,1613952000000,2021-02-22,-18.98999999999998
425,1614556800000,2021-03-01,-12.909999999999968
430,1614988800000,2021-03-06,-9.769999999999982
431,1615075200000,2021-03-07,-3.4899999999999523
434,1615334400000,2021-03-10,4.190000000000055
436,1615507200000,2021-03-12,3.07000000000005
441,1615939200000,2021-03-17,-3.2899999999999636
449,1616630400000,2021-03-25,0.8700000000000045
451,1616803200000,2021-03-27,5.990000000000009
455,1617148800000,2021-03-31,8.03000000000003
458,1617408000000,2021-04-03,3.590000000000032
459,1617494400000,2021-04-04,8.170000000000016
461,1617667200000,2021-04-06,3.9500000000000455
462,1617753600000,2021-04-07,4.07000000000005
463,1617840000000,2021-04-08,10.710000000000036
464,1617926400000,2021-04-09,11.190000000000055
466,1618099200000,2021-04-11,6.610000000000014
472,1618617600000,2021-04-17,0.07000000000005002
474,1618790400000,2021-04-19,8.330000000000041
475,1618876800000,2021-04-20,15.850000000000023
477,1619049600000,2021-04-22,23.83000000000004
478,1619136000000,2021-04-23,20.250000000000057
479,1619222400000,2021-04-24,12.510000000000048
480,1619308800000,2021-04-25,12.210000000000036
501,1621123200000,2021-05-16,23.590000000000032
502,1621209600000,2021-05-17,25.810000000000002
504,1621382400000,2021-05-19,23.83000000000004
505,1621468800000,2021-05-20,15.53000000000003
506,1621555200000,2021-05-21,29.810000000000002
507,1621641600000,2021-05-22,23.03000000000003
517,1622505600000,2021-06-01,8.830000000000041
522,1622937600000,2021-06-06,24.170000000000016
523,1623024000000,2021-06-07,24.670000000000016
525,1623196800000,2021-06-09,18.57000000000005
526,1623283200000,2021-06-10,17.99000000000001
527,1623369600000,2021-06-11,22.190000000000055
529,1623542400000,2021-06-13,25.49000000000001
537,1624233600000,2021-06-21,15.230000000000018
539,1624406400000,2021-06-23,10.53000000000003
540,1624492800000,2021-06-24,24.450000000000045
545,1624924800000,2021-06-29,22.230000000000018
549,1625270400000,2021-07-03,20.090000000000032
555,1625788800000,2021-07-09,20.230000000000018
558,1626048000000,2021-07-12,24.670000000000016
560,1626220800000,2021-07-14,20.610000000000014
562,1626393600000,2021-07-16,26.07000000000005
565,1626652800000,2021-07-19,20.55000000000001
566,1626739200000,2021-07-20,24.03000000000003
567,1626825600000,2021-07-21,26.010000000000048
568,1626912000000,2021-07-22,25.250000000000057
570,1627084800000,2021-07-24,18.810000000000002
571,1627171200000,2021-07-25,21.310000000000002
574,1627430400000,2021-07-28,19.33000000000004
575,1627516800000,2021-07-29,20.07000000000005
579,1627862400000,2021-08-02,18.190000000000055
584,1628294400000,2021-08-07,23.470000000000027
590,1628812800000,2021-08-13,16.930000000000007
593,1629072000000,2021-08-16,14.950000000000045
594,1629158400000,2021-08-17,21.910000000000025
595,1629244800000,2021-08-18,21.33000000000004
597,1629417600000,2021-08-20,16.890000000000043
599,1629590400000,2021-08-22,21.130000000000052
601,1629763200000,2021-08-24,16.53000000000003
607,1630281600000,2021-08-30,20.610000000000014
608,1630368000000,2021-08-31,18.29000000000002
610,1630540800000,2021-09-02,19.690000000000055
611,1630627200000,2021-09-03,14.890000000000043
612,1630713600000,2021-09-04,19.590000000000032
615,1630972800000,2021-09-07,15.330000000000041
622,1631577600000,2021-09-14,16.170000000000016
624,1631750400000,2021-09-16,15.470000000000027
625,1631836800000,2021-09-17,21.310000000000002
626,1631923200000,2021-09-18,15.130000000000052
630,1632268800000,2021-09-22,17.430000000000007
631,1632355200000,2021-09-23,16.250000000000057
635,1632700800000,2021-09-27,13.930000000000007
636,1632787200000,2021-09-28,19.610000000000014
640,1633132800000,2021-10-02,10.930000000000007
643,1633392000000,2021-10-05,7.970000000000027
645,1633564800000,2021-10-07,9.110000000000014
646,1633651200000,2021-10-08,15.670000000000016
649,1633910400000,2021-10-11,10.470000000000027
650,1633996800000,2021-10-12,14.550000000000011
658,1634688000000,2021-10-20,3.6300000000000523
659,1634774400000,2021-10-21,2.6300000000000523
660,1634860800000,2021-10-22,4.470000000000027
661,1634947200000,2021-10-23,8.03000000000003
662,1635033600000,2021-10-24,3.8100000000000023
664,1635206400000,2021-10-26,4.350000000000023
665,1635292800000,2021-10-27,6.230000000000018
666,1635379200000,2021-10-28,8.330000000000041
669,1635638400000,2021-10-31,4.550000000000011
670,1635724800000,2021-11-01,2.890000000000043
672,1635897600000,2021-11-03,4.090000000000032
673,1635984000000,2021-11-04,5.850000000000023
680,1636588800000,2021-11-11,-5.25
681,1636675200000,2021-11-12,-12.589999999999975
685,1637020800000,2021-11-16,-8.729999999999961
686,1637107200000,2021-11-17,-2.089999999999975
694,1637798400000,2021-11-25,-12.289999999999964
702,1638489600000,2021-12-03,-15.009999999999991
704,1638662400000,2021-12-05,-7.589999999999975
706,1638835200000,2021-12-07,-4.389999999999986
712,1639353600000,2021-12-13,-12.389999999999986
718,1639872000000,2021-12-19,-18.129999999999967
720,1640044800000,2021-12-21,-22.109999999999985
727,1640649600000,2021-12-28,-15.489999999999952
