Date,NEO Name,Diameter (km),Close Approach Date,Miss Distance (km)
2023-01-02,(2022 MF2),0.0353215683,2023-Jan-02 08:37,45213306.111152524
2023-01-02,(2022 WV7),0.1506745763,2023-Jan-02 16:01,21835290.205252148
2023-01-02,(2022 YT3),0.0409298336,2023-Jan-02 00:43,4257509.513493058
2023-01-02,(2022 YU3),0.0399981568,2023-Jan-02 05:11,3768530.340221965
2023-01-02,(2022 YZ3),0.0552128263,2023-Jan-02 09:30,9062157.887769654
2023-01-02,(2022 YP5),0.022286403,2023-Jan-02 17:53,2988369.59428379
2023-01-02,(2022 YY6),0.0349977383,2023-Jan-02 11:07,813642.409780532
2023-01-02,(2023 AL2),0.0385513844,2023-Jan-02 16:03,1688067.15221184
2023-01-03,494690 (2004 JQ1),0.5675968529,2023-Jan-03 10:12,73620334.748551493
2023-01-03,(2008 FX6),0.0594346868,2023-Jan-03 00:21,53303925.121378497
2023-01-03,(2011 WR41),0.0562393094,2023-Jan-03 17:20,6064355.265154931
2023-01-03,(2012 BE27),0.130028927,2023-Jan-03 09:05,2147031.083645068
2023-01-03,(2012 BA35),0.1056914799,2023-Jan-03 13:13,74055042.013675275
2023-01-03,(2015 AO43),0.0297879063,2023-Jan-03 10:26,12357600.133340637
2023-01-03,(2022 DA3),0.0159970528,2023-Jan-03 08:27,56575835.517279971
2023-01-03,(2022 YJ4),0.0239905375,2023-Jan-03 05:48,2028629.111792547
2023-01-03,(2022 YN7),0.4613600429,2023-Jan-03 19:58,27358959.902700453
2023-01-03,(2023 AU),0.0234444462,2023-Jan-03 10:25,3653483.22028249
2023-01-06,(2002 AJ69),0.3266178974,2023-Jan-06 19:07,64699620.450083879
2023-01-06,(2010 UY7),0.0118587791,2023-Jan-06 00:36,70761648.331416498
2023-01-06,(2015 MQ116),0.1241766613,2023-Jan-06 21:12,23867035.246199564
2023-01-06,(2018 LM4),1.0617932956,2023-Jan-06 11:45,57701769.62915796
2023-01-06,(2020 BT2),0.1096579137,2023-Jan-06 21:43,63953666.169668211
2023-01-06,(2020 CN),0.0196806745,2023-Jan-06 23:26,74174911.151678034
2023-01-06,(2020 EO),0.0392681082,2023-Jan-06 00:35,25671748.001511403
2023-01-06,(2021 AM2),0.0225964377,2023-Jan-06 17:50,67606500.344631919
2023-01-06,(2022 LF),0.1393285055,2023-Jan-06 14:03,18725638.835238976
2023-01-06,(2022 YN1),0.0835679943,2023-Jan-06 01:42,7027004.005037909
2023-01-06,(2022 YC3),0.1585039096,2023-Jan-06 15:17,30273073.482574047
2023-01-06,(2022 YV5),0.0524855773,2023-Jan-06 05:44,8013363.827798443
2023-01-06,(2022 YQ6),0.0676145215,2023-Jan-06 00:26,12712432.188861283
2023-01-06,(2023 AL),0.0450858206,2023-Jan-06 20:34,10335165.405591393
2023-01-06,(2023 AV1),0.0264265201,2023-Jan-06 15:30,1979723.772915107
2023-01-07,344133 (2000 AD6),1.1016407159,2023-Jan-07 18:05,48019176.835726362
2023-01-07,369454 (2010 NZ1),0.8791034386,2023-Jan-07 00:42,67219633.11699352
2023-01-07,452334 (2001 LB),0.3631114793,2023-Jan-07 20:26,42039030.121835709
2023-01-07,(2003 MK4),0.3999815682,2023-Jan-07 23:40,16677946.242475524
2023-01-07,(2006 HJ18),0.258249791,2023-Jan-07 04:17,38282814.917628736
2023-01-07,(2008 BX2),0.1132504611,2023-Jan-07 16:35,44202801.596088239
2023-01-07,(2013 QM10),0.0751692087,2023-Jan-07 09:35,70000648.679059403
2023-01-07,(2013 YL2),0.1425738833,2023-Jan-07 00:36,15016064.477031679
2023-01-07,(2016 AE166),0.3076379996,2023-Jan-07 09:12,13890074.206113292
2023-01-07,(2019 AR3),0.1879489824,2023-Jan-07 00:12,26515188.721258513
2023-01-07,(2019 AJ8),0.1336718562,2023-Jan-07 21:09,33327732.256701183
2023-01-07,(2021 RH),0.0414992243,2023-Jan-07 14:13,53093191.389041337
2023-01-07,(2022 BB3),0.1577756503,2023-Jan-07 16:53,54469189.021912244
2023-01-07,(2022 OF),0.0325117225,2023-Jan-07 16:38,20369491.888178706
2023-01-07,(2022 YD6),0.0867041687,2023-Jan-07 23:10,15412184.168371921
2023-01-07,(2023 AF),0.4385710684,2023-Jan-07 20:24,62837703.503815072
2023-01-07,(2023 AG1),0.1745982871,2023-Jan-07 12:29,34557638.668443825
