id,Null,uptime,country,location,ships,distinct,contributor,status,timezone,date,time,url
3249,,88 %,  Belgium,Antwerp,71,0,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3483,,24 %,  Belgium,WIjnegem,42,12,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2276,,100 %,  Belgium,Schilde,289,4,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2300,,100 %,  Belgium,Antwerp Harbour 1,471,52,www.vemasys.com,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2404,,100 %,  Belgium,Bruges,177,24,dotOcean,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2850,,100 %,  Brazil,Fortaleza,21,21,German Aerospace Center (DLR),Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2517,,100 %,  Brazil,Belem,194,61,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2857,,100 %,  Canada,Vancouver,52,1,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2676,,100 %,  Canada,Toronto,7,7,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3061,,100 %,  Argentina,Buenos Aires,18,18,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2502,,100 %,  Australia,Scarborough,64,64,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2701,,96 %,  Australia,O'Connor,66,66,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2801,,0 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2288,,100 %,  Australia,Johanna,5,5,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2936,,94 %,  Australia,Kettering,23,21,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2070,,100 %,  Australia,"Nelson Bay, NSW",42,42,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2234,,98 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2739,,90 %,  Australia,Townsville,44,44,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3354,,0 %,  Australia,Port Hedland,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3292,,99 %,  Australia,"Oakleigh, Victoria",3,3,SARCNET,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2637,,87 %,  Australia,Devonport,7,6,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2995,,100 %,  Australia,Kingston,10,9,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2556,,100 %,  Australia,Franklin,7,6,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2999,,100 %,  Australia,Mount Hicks,6,5,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3175,,100 %,  Austria,Vienna,3,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2798,,100 %,  Austria,Linz,27,27,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2520,,100 %,  Austria,Vienna,20,15,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2984,,100 %,  Azerbaijan,Baku,40,40,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3152,,100 %,  Belgium,Zeebrugge,207,34,Citymesh,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3075,,100 %,  Belgium,Aalst,2,2,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2145,,100 %,  Belgium,Antwerp2,476,47,Tresco Engineering,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3459,,100 %,  Belgium,Oostende,94,2,Flanders Marine Institute,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2292,,100 %,  Belgium,Gent,377,232,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2276,,100 %,  Belgium,Schilde,289,4,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2127,,100 %,  Belgium,Izegem,101,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2300,,100 %,  Belgium,Antwerp Harbour 1,471,52,www.vemasys.com,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2404,,100 %,  Belgium,Bruges,177,24,dotOcean,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3483,,24 %,  Belgium,WIjnegem,42,12,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2981,,95 %,  Belgium,Oostende,117,1,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3215,,79 %,  Belgium,Antwerp,1,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3359,,92 %,  Belgium,Schoten,50,4,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2061,,100 %,  Belgium,Ostend,45,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2546,,100 %,  Belgium,Merchtem,26,1,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3249,,88 %,  Belgium,Antwerp,71,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2850,,100 %,  Brazil,Fortaleza,21,21,German Aerospace Center (DLR),Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2517,,100 %,  Brazil,Belem,194,61,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2890,,100 %,  Canada,Montreal,29,0,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2920,,57 %,  Canada,Burnaby,35,1,,Online,India Standard Time,19/10/2021,21:05:42,https://www.aishub.net/stations?page=2
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3061,,100 %,  Argentina,Buenos Aires,18,18,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2999,,100 %,  Australia,Mount Hicks,6,5,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3292,,99 %,  Australia,"Oakleigh, Victoria",3,3,SARCNET,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2801,,0 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2739,,90 %,  Australia,Townsville,44,44,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2070,,100 %,  Australia,"Nelson Bay, NSW",42,42,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2936,,94 %,  Australia,Kettering,23,21,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2637,,87 %,  Australia,Devonport,7,6,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2502,,100 %,  Australia,Scarborough,64,64,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2556,,100 %,  Australia,Franklin,7,6,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2701,,96 %,  Australia,O'Connor,66,66,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2234,,98 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2995,,100 %,  Australia,Kingston,10,9,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3354,,0 %,  Australia,Port Hedland,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2288,,100 %,  Australia,Johanna,5,5,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3175,,100 %,  Austria,Vienna,3,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2520,,100 %,  Austria,Vienna,20,15,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2798,,100 %,  Austria,Linz,27,27,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2984,,100 %,  Azerbaijan,Baku,40,40,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3459,,100 %,  Belgium,Oostende,94,2,Flanders Marine Institute,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2061,,100 %,  Belgium,Ostend,45,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3359,,92 %,  Belgium,Schoten,50,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2276,,100 %,  Belgium,Schilde,289,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2300,,100 %,  Belgium,Antwerp Harbour 1,471,52,www.vemasys.com,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2404,,100 %,  Belgium,Bruges,177,24,dotOcean,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3075,,100 %,  Belgium,Aalst,2,2,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3249,,88 %,  Belgium,Antwerp,71,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3215,,79 %,  Belgium,Antwerp,1,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3483,,24 %,  Belgium,WIjnegem,42,12,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2145,,100 %,  Belgium,Antwerp2,476,47,Tresco Engineering,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2292,,100 %,  Belgium,Gent,377,232,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2546,,100 %,  Belgium,Merchtem,26,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3152,,100 %,  Belgium,Zeebrugge,207,34,Citymesh,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2981,,95 %,  Belgium,Oostende,117,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2127,,100 %,  Belgium,Izegem,101,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2850,,100 %,  Brazil,Fortaleza,21,21,German Aerospace Center (DLR),Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2517,,100 %,  Brazil,Belem,194,61,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2818,,93 %,  Canada,Montreal,41,10,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2025,,100 %,  Canada,"Windsor, Ontario",11,10,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=3
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3061,,100 %,  Argentina,Buenos Aires,18,18,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2739,,90 %,  Australia,Townsville,44,44,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3354,,0 %,  Australia,Port Hedland,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2556,,100 %,  Australia,Franklin,7,6,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2801,,0 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3292,,99 %,  Australia,"Oakleigh, Victoria",3,3,SARCNET,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2637,,87 %,  Australia,Devonport,7,6,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2502,,100 %,  Australia,Scarborough,64,64,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2995,,100 %,  Australia,Kingston,10,9,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2070,,100 %,  Australia,"Nelson Bay, NSW",42,42,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2999,,100 %,  Australia,Mount Hicks,6,5,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2288,,100 %,  Australia,Johanna,5,5,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2701,,96 %,  Australia,O'Connor,66,66,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2936,,94 %,  Australia,Kettering,23,21,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2234,,98 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3175,,100 %,  Austria,Vienna,3,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2798,,100 %,  Austria,Linz,27,27,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2520,,100 %,  Austria,Vienna,20,15,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2984,,100 %,  Azerbaijan,Baku,40,40,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2981,,95 %,  Belgium,Oostende,117,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2546,,100 %,  Belgium,Merchtem,26,1,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3359,,92 %,  Belgium,Schoten,50,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3249,,88 %,  Belgium,Antwerp,71,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2276,,100 %,  Belgium,Schilde,289,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2145,,100 %,  Belgium,Antwerp2,476,47,Tresco Engineering,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2292,,100 %,  Belgium,Gent,377,232,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3459,,100 %,  Belgium,Oostende,94,2,Flanders Marine Institute,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3215,,79 %,  Belgium,Antwerp,1,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2127,,100 %,  Belgium,Izegem,101,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2300,,100 %,  Belgium,Antwerp Harbour 1,471,52,www.vemasys.com,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3075,,100 %,  Belgium,Aalst,2,2,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2404,,100 %,  Belgium,Bruges,177,24,dotOcean,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3483,,24 %,  Belgium,WIjnegem,42,12,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2061,,100 %,  Belgium,Ostend,45,0,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3152,,100 %,  Belgium,Zeebrugge,207,34,Citymesh,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2850,,100 %,  Brazil,Fortaleza,21,21,German Aerospace Center (DLR),Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2517,,100 %,  Brazil,Belem,194,61,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2818,,93 %,  Canada,Montreal,41,10,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2955,,99 %,  Canada,Bowen Island,179,25,,Online,India Standard Time,19/10/2021,21:05:43,https://www.aishub.net/stations?page=4
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
3061,,100 %,  Argentina,Buenos Aires,18,18,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2288,,100 %,  Australia,Johanna,5,5,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2070,,100 %,  Australia,"Nelson Bay, NSW",42,42,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2936,,94 %,  Australia,Kettering,23,21,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
2701,,96 %,  Australia,O'Connor,66,66,,Online,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
3354,,0 %,  Australia,Port Hedland,0,0,,Dead,India Standard Time,19/10/2021,21:05:44,https://www.aishub.net/stations?page=5
