timezone,date,time,vessels_online,stations_online,stations_offline
India Standard Time,19/10/2021,21:44:31,33864,775,155
India Standard Time,19/10/2021,21:44:41,33778,775,155
India Standard Time,19/10/2021,21:44:51,33795,775,155
India Standard Time,19/10/2021,21:45:01,33807,774,155
India Standard Time,19/10/2021,21:45:11,33821,775,155
India Standard Time,19/10/2021,21:45:21,33839,775,155
India Standard Time,19/10/2021,21:45:31,33851,775,155
India Standard Time,19/10/2021,21:45:41,33777,775,155
India Standard Time,19/10/2021,21:45:51,33786,775,155
India Standard Time,19/10/2021,21:46:01,33802,775,155
India Standard Time,19/10/2021,21:46:11,33820,775,155
India Standard Time,19/10/2021,21:46:21,33835,775,155
India Standard Time,19/10/2021,21:46:31,33852,775,155
India Standard Time,19/10/2021,21:46:41,33795,775,155
India Standard Time,19/10/2021,21:46:51,33810,775,155
India Standard Time,19/10/2021,21:47:01,33824,775,155
India Standard Time,19/10/2021,21:47:11,33836,775,155
India Standard Time,19/10/2021,21:47:21,33858,775,155
India Standard Time,19/10/2021,21:47:31,33876,775,155
India Standard Time,19/10/2021,21:47:41,33817,775,155
India Standard Time,19/10/2021,21:47:51,33837,775,155
India Standard Time,19/10/2021,21:48:01,33846,775,155
India Standard Time,19/10/2021,21:48:11,33857,775,155
India Standard Time,19/10/2021,21:48:21,33875,775,155
India Standard Time,19/10/2021,21:48:31,33888,775,155
India Standard Time,19/10/2021,21:48:41,33813,775,155
India Standard Time,19/10/2021,21:48:51,33826,775,155
India Standard Time,19/10/2021,21:49:01,33836,775,155
India Standard Time,19/10/2021,21:49:11,33854,775,155
India Standard Time,19/10/2021,21:49:21,33868,775,155
India Standard Time,19/10/2021,21:49:31,33882,775,155
India Standard Time,19/10/2021,21:49:41,33821,775,155
India Standard Time,19/10/2021,21:49:51,33835,775,155
India Standard Time,19/10/2021,21:50:01,33855,775,154
India Standard Time,19/10/2021,21:50:11,33864,775,155
India Standard Time,19/10/2021,21:50:21,33881,775,155
India Standard Time,19/10/2021,21:50:31,33894,775,155
India Standard Time,19/10/2021,21:50:41,33841,775,155
India Standard Time,19/10/2021,21:50:51,33860,775,155
India Standard Time,19/10/2021,21:51:01,33874,775,155
India Standard Time,19/10/2021,21:51:11,33891,775,155
India Standard Time,19/10/2021,21:51:21,33895,775,155
India Standard Time,19/10/2021,21:51:31,33915,775,155
India Standard Time,19/10/2021,21:51:41,33853,775,155
India Standard Time,19/10/2021,21:51:51,33870,775,155
India Standard Time,19/10/2021,21:52:01,33880,775,155
India Standard Time,19/10/2021,21:52:11,33887,775,155
India Standard Time,19/10/2021,21:52:21,33904,775,155
India Standard Time,19/10/2021,21:52:31,33917,775,155
India Standard Time,19/10/2021,21:52:41,33845,775,155
India Standard Time,19/10/2021,21:52:51,33861,775,155
India Standard Time,19/10/2021,21:53:01,33872,775,155
India Standard Time,19/10/2021,21:53:11,33885,775,155
India Standard Time,19/10/2021,21:53:21,33899,775,155
India Standard Time,19/10/2021,21:53:31,33920,775,155
India Standard Time,19/10/2021,21:53:41,33834,775,155
India Standard Time,19/10/2021,21:53:51,33841,775,155
India Standard Time,19/10/2021,21:54:01,33858,775,155
India Standard Time,19/10/2021,21:54:11,33874,775,155
India Standard Time,19/10/2021,21:54:21,33880,775,155
India Standard Time,19/10/2021,21:54:31,33890,775,155
India Standard Time,19/10/2021,21:54:41,33806,775,155
India Standard Time,19/10/2021,21:54:51,33816,775,155
India Standard Time,19/10/2021,21:55:01,33827,771,155
India Standard Time,19/10/2021,21:55:11,33846,771,159
India Standard Time,19/10/2021,21:55:21,33857,771,159
India Standard Time,19/10/2021,21:55:31,33870,771,159
India Standard Time,19/10/2021,21:55:41,33824,771,159
India Standard Time,19/10/2021,21:55:51,33841,771,159
India Standard Time,19/10/2021,21:56:01,33850,771,159
India Standard Time,19/10/2021,21:56:11,33866,771,159
India Standard Time,19/10/2021,21:56:21,33876,771,159
India Standard Time,19/10/2021,21:56:31,33890,771,159
India Standard Time,19/10/2021,21:56:41,33811,771,159
India Standard Time,19/10/2021,21:56:51,33824,771,159
India Standard Time,19/10/2021,21:57:01,33837,771,159
India Standard Time,19/10/2021,21:57:11,33853,771,159
India Standard Time,19/10/2021,21:57:21,33868,771,159
India Standard Time,19/10/2021,21:57:31,33877,771,159
India Standard Time,19/10/2021,21:57:41,33792,771,159
India Standard Time,19/10/2021,21:57:51,33815,771,159
India Standard Time,19/10/2021,21:58:01,33824,771,159
India Standard Time,19/10/2021,21:58:11,33846,771,159
India Standard Time,19/10/2021,21:58:21,33854,771,159
India Standard Time,19/10/2021,21:58:31,33873,771,159
India Standard Time,19/10/2021,21:58:41,33804,771,159
India Standard Time,19/10/2021,21:58:51,33822,771,159
India Standard Time,19/10/2021,21:59:01,33834,771,159
India Standard Time,19/10/2021,21:59:11,33845,771,159
India Standard Time,19/10/2021,21:59:21,33863,771,159
India Standard Time,19/10/2021,21:59:31,33881,771,159
India Standard Time,19/10/2021,21:59:41,33802,771,159
India Standard Time,19/10/2021,21:59:51,33817,771,159
India Standard Time,19/10/2021,22:00:01,33834,772,158
India Standard Time,19/10/2021,22:00:11,33851,772,158
India Standard Time,19/10/2021,22:00:21,33864,772,158
India Standard Time,19/10/2021,22:00:31,33879,772,158
India Standard Time,19/10/2021,22:00:41,33814,772,158
India Standard Time,19/10/2021,22:00:51,33834,772,158
India Standard Time,19/10/2021,22:01:01,33847,772,158
India Standard Time,19/10/2021,22:01:11,33863,772,158
India Standard Time,19/10/2021,22:01:21,33872,772,158
India Standard Time,19/10/2021,22:01:31,33886,772,158
India Standard Time,19/10/2021,22:01:41,33826,772,158
India Standard Time,19/10/2021,22:01:51,33845,772,158
India Standard Time,19/10/2021,22:02:01,33865,772,158
India Standard Time,19/10/2021,22:02:11,33876,772,158
India Standard Time,19/10/2021,22:02:21,33888,772,158
India Standard Time,19/10/2021,22:02:31,33904,772,158
India Standard Time,19/10/2021,22:02:41,33829,772,158
India Standard Time,19/10/2021,22:02:51,33848,772,158
India Standard Time,19/10/2021,22:03:01,33860,772,158
India Standard Time,19/10/2021,22:03:11,33878,772,158
India Standard Time,19/10/2021,22:03:21,33886,772,158
India Standard Time,19/10/2021,22:03:32,33902,772,158
India Standard Time,19/10/2021,22:03:42,33829,772,158
India Standard Time,19/10/2021,22:03:52,33841,772,158
India Standard Time,19/10/2021,22:04:02,33857,772,158
India Standard Time,19/10/2021,22:04:12,33870,772,158
India Standard Time,19/10/2021,22:04:22,33880,772,158
India Standard Time,19/10/2021,22:04:32,33785,772,158
India Standard Time,19/10/2021,22:04:42,33799,772,158
India Standard Time,19/10/2021,22:04:52,33808,772,158
India Standard Time,19/10/2021,22:05:02,33815,773,157
India Standard Time,19/10/2021,22:05:12,33826,774,156
India Standard Time,19/10/2021,22:05:22,33843,774,156
India Standard Time,19/10/2021,22:05:32,33731,774,156
India Standard Time,19/10/2021,22:05:42,33754,774,156
India Standard Time,19/10/2021,22:05:52,33761,774,156
India Standard Time,19/10/2021,22:06:02,33770,774,156
India Standard Time,19/10/2021,22:06:12,33782,774,156
India Standard Time,19/10/2021,22:06:22,33798,774,156
India Standard Time,19/10/2021,22:06:32,33728,774,156
India Standard Time,19/10/2021,22:06:42,33736,774,156
India Standard Time,19/10/2021,22:06:52,33746,774,156
India Standard Time,19/10/2021,22:07:02,33761,774,156
India Standard Time,19/10/2021,22:07:12,33777,774,156
India Standard Time,19/10/2021,22:07:22,33792,774,156
India Standard Time,19/10/2021,22:07:32,33718,774,156
India Standard Time,19/10/2021,22:07:42,33734,774,156
India Standard Time,19/10/2021,22:07:52,33744,774,156
India Standard Time,19/10/2021,22:08:02,33762,774,156
India Standard Time,19/10/2021,22:08:12,33783,774,156
India Standard Time,19/10/2021,22:08:22,33802,774,156
India Standard Time,19/10/2021,22:08:32,33724,774,156
India Standard Time,19/10/2021,22:08:42,33744,774,156
India Standard Time,19/10/2021,22:08:52,33774,774,156
