aug_id,original_id,sample_frequency,name,description,source,url,country_name,location,time stamp,Latitude,Longitude
aishub3292,3292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,"Oakleigh, Victoria",India Standard Time 21:05:40 19/10/2021,-37.89923,145.09363
aishub2701,2701,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,O'Connor,India Standard Time 21:05:40 19/10/2021,-35.25907,149.11531
aishub2864,2864,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Morayfield,India Standard Time 21:05:40 19/10/2021,-27.10893,152.95031
aishub2288,2288,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Johanna,India Standard Time 21:05:40 19/10/2021,-38.75553,143.38604
aishub2936,2936,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Kettering,India Standard Time 21:05:40 19/10/2021,-43.12779,147.24641
aishub2739,2739,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Townsville,India Standard Time 21:05:40 19/10/2021,-19.25712,146.82138
aishub2520,2520,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Austria,Vienna,India Standard Time 21:05:40 19/10/2021,48.20263,16.36842
aishub2798,2798,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Austria,Linz,India Standard Time 21:05:40 19/10/2021,48.30423,14.28812
aishub3175,3175,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Austria,Vienna,India Standard Time 21:05:40 19/10/2021,48.20263,16.36842
aishub2984,2984,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Azerbaijan,Baku,India Standard Time 21:05:40 19/10/2021,40.41066,49.87222
aishub2445,2445,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Bahamas,Freeport,India Standard Time 21:05:40 19/10/2021,26.53559,-78.69696
aishub2145,2145,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Antwerp,India Standard Time 21:05:40 19/10/2021,51.22212,4.39769
aishub3215,3215,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Antwerp,India Standard Time 21:05:40 19/10/2021,51.22212,4.39769
aishub2292,2292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Gent,India Standard Time 21:05:40 19/10/2021,51.05563,3.72856
aishub2981,2981,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Oostende,India Standard Time 21:05:40 19/10/2021,51.23122,2.91266
aishub2546,2546,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Merchtem,India Standard Time 21:05:40 19/10/2021,50.95854,4.23199
aishub2127,2127,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Izegem,India Standard Time 21:05:40 19/10/2021,50.92057,3.21477
aishub3459,3459,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Oostende,India Standard Time 21:05:40 19/10/2021,51.23122,2.91266
aishub3152,3152,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Zeebrugge,India Standard Time 21:05:40 19/10/2021,51.33099,3.20698
aishub2723,2723,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Antwerp Harbour 2,India Standard Time 21:05:40 19/10/2021,51.19386,5.02848
aishub3359,3359,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Schoten,India Standard Time 21:05:40 19/10/2021,51.25104,4.49798
aishub2061,2061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Ostend,India Standard Time 21:05:40 19/10/2021,51.23122,2.91266
aishub3075,3075,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Aalst,India Standard Time 21:05:40 19/10/2021,50.93624,4.04268
aishub2709,2709,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,"Watervliet, St Laureins",India Standard Time 21:05:40 19/10/2021,51.27586,3.62614
aishub3249,3249,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Antwerp,India Standard Time 21:05:40 19/10/2021,51.22212,4.39769
aishub3483,3483,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,WIjnegem,India Standard Time 21:05:40 19/10/2021,51.22822,4.52661
aishub2276,2276,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Schilde,India Standard Time 21:05:40 19/10/2021,51.23938,4.58024
aishub2300,2300,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Antwerp Harbour 1,India Standard Time 21:05:40 19/10/2021,51.21689,5.10942
aishub2404,2404,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Belgium,Bruges,India Standard Time 21:05:40 19/10/2021,51.20847,3.2245
aishub2850,2850,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Brazil,Fortaleza,India Standard Time 21:05:40 19/10/2021,-3.71841,-38.54288
aishub2929,2929,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Brazil,Curitiba,India Standard Time 21:05:40 19/10/2021,-25.43998,-49.27654
aishub2517,2517,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Brazil,Belem,India Standard Time 21:05:40 19/10/2021,-1.45643,-48.50327
aishub3489,3489,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Brazil,Maceio,India Standard Time 21:05:40 19/10/2021,-9.66648,-35.73495
aishub3019,3019,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Bulgaria,Varna,India Standard Time 21:05:40 19/10/2021,43.2063,27.92523
aishub2576,2576,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Bulgaria,Varna,India Standard Time 21:05:40 19/10/2021,43.2063,27.92523
aishub2857,2857,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Canada,Vancouver,India Standard Time 21:05:40 19/10/2021,49.26038,-123.11336
aishub2676,2676,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Canada,Toronto,India Standard Time 21:05:40 19/10/2021,43.64869,-79.38544
aishub2766,2766,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Angola,Zaire,India Standard Time 21:05:42 19/10/2021,-6.6152,13.57777
aishub3061,3061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Argentina,Buenos Aires,India Standard Time 21:05:42 19/10/2021,-34.60849,-58.37344
aishub2675,2675,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Sydney,India Standard Time 21:05:42 19/10/2021,-33.8696,151.20691
aishub2502,2502,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Scarborough,India Standard Time 21:05:42 19/10/2021,-31.89805,115.76119
aishub2701,2701,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,O'Connor,India Standard Time 21:05:42 19/10/2021,-35.25907,149.11531
aishub2801,2801,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Glenorchy,India Standard Time 21:05:42 19/10/2021,-36.90956,142.65848
aishub2288,2288,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Johanna,India Standard Time 21:05:42 19/10/2021,-38.75553,143.38604
aishub2936,2936,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Kettering,India Standard Time 21:05:42 19/10/2021,-43.12779,147.24641
aishub2070,2070,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,"Nelson Bay, NSW",India Standard Time 21:05:42 19/10/2021,-32.72202,152.14351
aishub2234,2234,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Mt Arthur (N.Tasmania),India Standard Time 21:05:42 19/10/2021,-41.27,147.28
aishub2739,2739,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Townsville,India Standard Time 21:05:42 19/10/2021,-19.25712,146.82138
aishub3354,3354,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Port Hedland,India Standard Time 21:05:42 19/10/2021,-20.31346,118.57726
aishub2864,2864,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Morayfield,India Standard Time 21:05:42 19/10/2021,-27.10893,152.95031
aishub2465,2465,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Darwin,India Standard Time 21:05:42 19/10/2021,-12.46089,130.84153
aishub3292,3292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,"Oakleigh, Victoria",India Standard Time 21:05:42 19/10/2021,-37.89923,145.09363
aishub2637,2637,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Devonport,India Standard Time 21:05:42 19/10/2021,-41.17965,146.34708
aishub2995,2995,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Kingston,India Standard Time 21:05:42 19/10/2021,-29.05459,167.96628
aishub2556,2556,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Franklin,India Standard Time 21:05:42 19/10/2021,-43.0886,147.01125
aishub2999,2999,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Australia,Mount Hicks,India Standard Time 21:05:42 19/10/2021,-41.05125,145.74503
aishub3175,3175,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Austria,Vienna,India Standard Time 21:05:42 19/10/2021,48.20263,16.36842
aishub2798,2798,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Austria,Linz,India Standard Time 21:05:42 19/10/2021,48.30423,14.28812
aishub2520,2520,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Austria,Vienna,India Standard Time 21:05:42 19/10/2021,48.20263,16.36842
aishub2984,2984,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Azerbaijan,Baku,India Standard Time 21:05:42 19/10/2021,40.41066,49.87222
aishub2445,2445,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Bahamas,Freeport,India Standard Time 21:05:42 19/10/2021,26.53559,-78.69696
aishub3152,3152,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Zeebrugge,India Standard Time 21:05:42 19/10/2021,51.33099,3.20698
aishub2723,2723,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Antwerp Harbour 2,India Standard Time 21:05:42 19/10/2021,51.19386,5.02848
aishub3075,3075,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Aalst,India Standard Time 21:05:42 19/10/2021,50.93624,4.04268
aishub2145,2145,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Antwerp,India Standard Time 21:05:42 19/10/2021,51.22212,4.39769
aishub3459,3459,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Oostende,India Standard Time 21:05:42 19/10/2021,51.23122,2.91266
aishub2292,2292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Gent,India Standard Time 21:05:42 19/10/2021,51.05563,3.72856
aishub2709,2709,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,"Watervliet, St Laureins",India Standard Time 21:05:42 19/10/2021,51.27586,3.62614
aishub2276,2276,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Schilde,India Standard Time 21:05:42 19/10/2021,51.23938,4.58024
aishub2127,2127,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Izegem,India Standard Time 21:05:42 19/10/2021,50.92057,3.21477
aishub2300,2300,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Antwerp Harbour 1,India Standard Time 21:05:42 19/10/2021,51.21689,5.10942
aishub2404,2404,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Bruges,India Standard Time 21:05:42 19/10/2021,51.20847,3.2245
aishub3483,3483,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,WIjnegem,India Standard Time 21:05:42 19/10/2021,51.22822,4.52661
aishub2981,2981,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Oostende,India Standard Time 21:05:42 19/10/2021,51.23122,2.91266
aishub3215,3215,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Antwerp,India Standard Time 21:05:42 19/10/2021,51.22212,4.39769
aishub3359,3359,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Schoten,India Standard Time 21:05:42 19/10/2021,51.25104,4.49798
aishub2061,2061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Ostend,India Standard Time 21:05:42 19/10/2021,51.23122,2.91266
aishub2546,2546,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Merchtem,India Standard Time 21:05:42 19/10/2021,50.95854,4.23199
aishub3249,3249,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Belgium,Antwerp,India Standard Time 21:05:42 19/10/2021,51.22212,4.39769
aishub2850,2850,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Brazil,Fortaleza,India Standard Time 21:05:42 19/10/2021,-3.71841,-38.54288
aishub2517,2517,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Brazil,Belem,India Standard Time 21:05:42 19/10/2021,-1.45643,-48.50327
aishub3489,3489,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Brazil,Maceio,India Standard Time 21:05:42 19/10/2021,-9.66648,-35.73495
aishub2929,2929,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Brazil,Curitiba,India Standard Time 21:05:42 19/10/2021,-25.43998,-49.27654
aishub3019,3019,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Bulgaria,Varna,India Standard Time 21:05:42 19/10/2021,43.2063,27.92523
aishub2576,2576,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Bulgaria,Varna,India Standard Time 21:05:42 19/10/2021,43.2063,27.92523
aishub2890,2890,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Canada,Montreal,India Standard Time 21:05:42 19/10/2021,45.5124,-73.55469
aishub2920,2920,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=2,Canada,Burnaby,India Standard Time 21:05:42 19/10/2021,49.24475,-122.97334
aishub2766,2766,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Angola,Zaire,India Standard Time 21:05:43 19/10/2021,-6.6152,13.57777
aishub3061,3061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Argentina,Buenos Aires,India Standard Time 21:05:43 19/10/2021,-34.60849,-58.37344
aishub2999,2999,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Mount Hicks,India Standard Time 21:05:43 19/10/2021,-41.05125,145.74503
aishub3292,3292,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,"Oakleigh, Victoria",India Standard Time 21:05:43 19/10/2021,-37.89923,145.09363
aishub2801,2801,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Glenorchy,India Standard Time 21:05:43 19/10/2021,-36.90956,142.65848
aishub2739,2739,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Townsville,India Standard Time 21:05:43 19/10/2021,-19.25712,146.82138
aishub2070,2070,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,"Nelson Bay, NSW",India Standard Time 21:05:43 19/10/2021,-32.72202,152.14351
aishub2465,2465,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Darwin,India Standard Time 21:05:43 19/10/2021,-12.46089,130.84153
aishub2936,2936,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Kettering,India Standard Time 21:05:43 19/10/2021,-43.12779,147.24641
aishub2637,2637,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Devonport,India Standard Time 21:05:43 19/10/2021,-41.17965,146.34708
aishub2502,2502,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Scarborough,India Standard Time 21:05:43 19/10/2021,-31.89805,115.76119
aishub2864,2864,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Morayfield,India Standard Time 21:05:43 19/10/2021,-27.10893,152.95031
aishub2556,2556,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Franklin,India Standard Time 21:05:43 19/10/2021,-43.0886,147.01125
aishub2675,2675,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Sydney,India Standard Time 21:05:43 19/10/2021,-33.8696,151.20691
aishub2701,2701,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,O'Connor,India Standard Time 21:05:43 19/10/2021,-35.25907,149.11531
aishub2234,2234,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Mt Arthur (N.Tasmania),India Standard Time 21:05:43 19/10/2021,-41.27,147.28
aishub2995,2995,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Kingston,India Standard Time 21:05:43 19/10/2021,-29.05459,167.96628
aishub3354,3354,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Port Hedland,India Standard Time 21:05:43 19/10/2021,-20.31346,118.57726
aishub2288,2288,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Australia,Johanna,India Standard Time 21:05:43 19/10/2021,-38.75553,143.38604
aishub3175,3175,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Austria,Vienna,India Standard Time 21:05:43 19/10/2021,48.20263,16.36842
aishub2520,2520,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Austria,Vienna,India Standard Time 21:05:43 19/10/2021,48.20263,16.36842
aishub2798,2798,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Austria,Linz,India Standard Time 21:05:43 19/10/2021,48.30423,14.28812
aishub2984,2984,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Azerbaijan,Baku,India Standard Time 21:05:43 19/10/2021,40.41066,49.87222
aishub2445,2445,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Bahamas,Freeport,India Standard Time 21:05:43 19/10/2021,26.53559,-78.69696
aishub3459,3459,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Oostende,India Standard Time 21:05:43 19/10/2021,51.23122,2.91266
aishub2061,2061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Ostend,India Standard Time 21:05:43 19/10/2021,51.23122,2.91266
aishub3359,3359,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Schoten,India Standard Time 21:05:43 19/10/2021,51.25104,4.49798
aishub2276,2276,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Schilde,India Standard Time 21:05:43 19/10/2021,51.23938,4.58024
aishub2300,2300,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Antwerp Harbour 1,India Standard Time 21:05:43 19/10/2021,51.21689,5.10942
aishub2404,2404,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=3,Belgium,Bruges,India Standard Time 21:05:43 19/10/2021,51.20847,3.2245
