,aug_id,original_id,sample_frequency,name,description,units,source,url,domain,subdomain,country_name,region_name,region_code,city,location,map_coordinates,timestamps,country_code
27,openweather_map_api_9994147.0,9994147.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-29 00:00:00,JPN
28,openweather_map_api_10080547.0,10080547.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-30 00:00:00,JPN
29,openweather_map_api_10166947.0,10166947.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-12-01 00:00:00,JPN
30,openweather_map_api_7084494.0,7084494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-02 00:00:00,IND
31,openweather_map_api_7170894.0,7170894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-03 00:00:00,IND
32,openweather_map_api_7257294.0,7257294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-04 00:00:00,IND
33,openweather_map_api_7343694.0,7343694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-05 00:00:00,IND
34,openweather_map_api_7430094.0,7430094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-06 00:00:00,IND
35,openweather_map_api_7516494.0,7516494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-07 00:00:00,IND
36,openweather_map_api_7602894.0,7602894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-08 00:00:00,IND
37,openweather_map_api_7689294.0,7689294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-09 00:00:00,IND
38,openweather_map_api_7775694.0,7775694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-10 00:00:00,IND
39,openweather_map_api_7862094.0,7862094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-11 00:00:00,IND
40,openweather_map_api_7948494.0,7948494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-12 00:00:00,IND
41,openweather_map_api_8034894.0,8034894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-13 00:00:00,IND
42,openweather_map_api_8121294.0,8121294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-14 00:00:00,IND
43,openweather_map_api_8207694.0,8207694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-15 00:00:00,IND
44,openweather_map_api_8294094.0,8294094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-16 00:00:00,IND
45,openweather_map_api_8380494.0,8380494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-17 00:00:00,IND
