,Unnamed: 0,id,city,country,dt,humidity,pressure,wind_speed,temp.average,temp.average_max,temp.average_min,temp.record_max,temp.record_min,region_name,region_code
19,19,9302947.0,Tokyo,JPN,2021-11-21 00:00:00,65.11,1020.92,4.06,285.03,289.18,281.25,292.74,274.59,Japan,392
20,20,9389347.0,Tokyo,JPN,2021-11-22 00:00:00,71.37,1018.02,4.29,284.93,288.37,281.35,292.96,276.74,Japan,392
21,21,9475747.0,Tokyo,JPN,2021-11-23 00:00:00,71.15,1018.51,4.39,284.8,288.41,281.42,293.25,274.14,Japan,392
22,22,9562147.0,Tokyo,JPN,2021-11-24 00:00:00,73.26,1018.08,3.89,283.76,286.91,280.77,292.87,272.22,Japan,392
23,23,9648547.0,Tokyo,JPN,2021-11-25 00:00:00,77.08,1017.94,4.75,283.31,286.9,279.78,294.4,274.89,Japan,392
24,24,9734947.0,Tokyo,JPN,2021-11-26 00:00:00,71.78,1018.53,4.33,284.31,287.46,281.61,292.34,278.66,Japan,392
25,25,9821347.0,Tokyo,JPN,2021-11-27 00:00:00,74.11,1015.31,3.59,284.3,287.23,281.6,290.13,277.32,Japan,392
26,26,9907747.0,Tokyo,JPN,2021-11-28 00:00:00,63.54,1017.63,4.93,283.8,288.27,279.95,290.81,275.82,Japan,392
27,27,9994147.0,Tokyo,JPN,2021-11-29 00:00:00,61.65,1019.12,4.06,282.74,286.6,278.84,290.79,274.68,Japan,392
28,28,10080547.0,Tokyo,JPN,2021-11-30 00:00:00,64.68,1019.77,3.27,283.06,287.1,279.57,289.48,276.27,Japan,392
29,29,10166947.0,Tokyo,JPN,2021-12-01 00:00:00,66.69,1017.37,4.04,283.25,287.01,279.64,290.08,276.52,Japan,392
30,0,7084494.0,Delhi,IND,2021-11-02 00:00:00,63.53,1014.52,2.08,295.89,302.28,290.46,304.15,286.15,India,356
31,1,7170894.0,Delhi,IND,2021-11-03 00:00:00,63.48,1014.13,2.18,295.98,302.01,290.4,304.34,285.96,India,356
32,2,7257294.0,Delhi,IND,2021-11-04 00:00:00,61.82,1013.7,2.01,295.54,301.93,289.81,304.15,287.15,India,356
33,3,7343694.0,Delhi,IND,2021-11-05 00:00:00,64.31,1013.09,2.12,294.61,300.88,289.62,303.15,287.94,India,356
34,4,7430094.0,Delhi,IND,2021-11-06 00:00:00,56.56,1012.25,2.14,295.39,302.23,289.07,304.15,287.15,India,356
35,5,7516494.0,Delhi,IND,2021-11-07 00:00:00,64.43,1014.39,1.91,294.6,300.83,288.93,304.15,286.15,India,356
36,6,7602894.0,Delhi,IND,2021-11-08 00:00:00,64.23,1014.38,1.89,294.19,301.07,288.39,305.15,286.15,India,356
37,7,7689294.0,Delhi,IND,2021-11-09 00:00:00,60.75,1014.44,2.04,294.72,301.34,288.12,304.15,286.15,India,356
38,8,7775694.0,Delhi,IND,2021-11-10 00:00:00,54.59,1012.74,1.98,294.73,301.5,288.4,303.62,286.15,India,356
39,9,7862094.0,Delhi,IND,2021-11-11 00:00:00,53.12,1013.82,2.12,294.24,301.1,287.96,303.15,285.15,India,356
40,10,7948494.0,Delhi,IND,2021-11-12 00:00:00,57.95,1013.56,2.06,293.91,301.06,287.21,303.15,284.15,India,356
41,11,8034894.0,Delhi,IND,2021-11-13 00:00:00,59.57,1014.53,2.05,294.14,301.22,288.25,303.15,284.65,India,356
42,12,8121294.0,Delhi,IND,2021-11-14 00:00:00,61.81,1014.31,2.28,293.55,300.44,287.31,302.15,283.15,India,356
43,13,8207694.0,Delhi,IND,2021-11-15 00:00:00,59.95,1014.25,2.36,293.6,300.65,287.67,305.15,282.15,India,356
44,14,8294094.0,Delhi,IND,2021-11-16 00:00:00,56.5,1014.0,2.65,293.03,299.97,286.37,302.15,283.15,India,356
45,15,8380494.0,Delhi,IND,2021-11-17 00:00:00,56.57,1014.15,2.58,292.51,299.89,286.09,301.27,282.15,India,356
46,16,8466894.0,Delhi,IND,2021-11-18 00:00:00,59.11,1014.7,2.33,292.21,299.42,285.82,301.15,283.15,India,356
47,17,8553294.0,Delhi,IND,2021-11-19 00:00:00,57.1,1014.27,2.21,292.12,299.45,285.73,301.15,282.55,India,356
48,18,8639694.0,Delhi,IND,2021-11-20 00:00:00,57.2,1014.84,2.28,292.15,299.55,285.53,302.15,283.15,India,356
49,19,8726094.0,Delhi,IND,2021-11-21 00:00:00,55.26,1014.78,2.17,291.85,299.53,285.11,303.68,282.15,India,356
50,20,8812494.0,Delhi,IND,2021-11-22 00:00:00,54.96,1014.95,2.09,291.68,299.66,284.57,303.15,282.15,India,356
51,21,8898894.0,Delhi,IND,2021-11-23 00:00:00,54.0,1013.77,2.2,292.1,299.58,285.21,301.62,282.15,India,356
52,22,8985294.0,Delhi,IND,2021-11-24 00:00:00,53.12,1015.48,2.32,291.9,299.15,284.83,301.15,281.63,India,356
53,23,9071694.0,Delhi,IND,2021-11-25 00:00:00,52.94,1014.78,2.43,292.36,299.65,285.49,302.68,283.21,India,356
54,24,9158094.0,Delhi,IND,2021-11-26 00:00:00,54.01,1013.59,2.48,292.71,300.21,286.27,303.68,283.15,India,356
55,25,9244494.0,Delhi,IND,2021-11-27 00:00:00,56.94,1014.58,2.43,292.29,298.76,285.82,302.15,283.15,India,356
56,26,9330894.0,Delhi,IND,2021-11-28 00:00:00,54.81,1013.93,2.15,292.56,299.25,285.53,302.15,281.63,India,356
57,27,9417294.0,Delhi,IND,2021-11-29 00:00:00,58.42,1015.38,1.94,292.37,299.03,285.93,302.15,283.15,India,356
58,28,9503694.0,Delhi,IND,2021-11-30 00:00:00,64.82,1014.85,2.18,292.03,298.97,286.47,302.15,284.15,India,356
59,29,9590094.0,Delhi,IND,2021-12-01 00:00:00,63.91,1015.36,2.32,291.62,298.13,286.17,302.15,283.15,India,356
60,0,7607436.0,Shanghai,CHN,2021-11-02 00:00:00,64.84,1022.26,3.05,290.01,293.93,286.87,298.3,281.39,China,156
61,1,7693836.0,Shanghai,CHN,2021-11-03 00:00:00,64.79,1023.26,3.97,289.71,293.4,286.41,297.28,282.62,China,156
62,2,7780236.0,Shanghai,CHN,2021-11-04 00:00:00,67.41,1022.36,3.75,289.41,292.78,286.0,295.68,281.81,China,156
63,3,7866636.0,Shanghai,CHN,2021-11-05 00:00:00,70.14,1020.51,3.09,290.23,293.94,286.86,297.15,282.15,China,156
64,4,7953036.0,Shanghai,CHN,2021-11-06 00:00:00,69.52,1019.6,3.3,291.48,294.54,288.55,298.09,281.15,China,156
65,5,8039436.0,Shanghai,CHN,2021-11-07 00:00:00,69.32,1021.1,4.04,290.67,294.93,286.7,300.15,281.15,China,156
66,6,8125836.0,Shanghai,CHN,2021-11-08 00:00:00,67.56,1023.45,4.24,288.23,291.13,285.59,296.96,282.67,China,156
67,7,8212236.0,Shanghai,CHN,2021-11-09 00:00:00,66.93,1022.72,3.44,288.8,292.04,285.56,301.04,281.58,China,156
68,8,8298636.0,Shanghai,CHN,2021-11-10 00:00:00,65.2,1021.89,3.78,288.76,291.77,285.53,295.83,280.15,China,156
69,9,8385036.0,Shanghai,CHN,2021-11-11 00:00:00,63.19,1021.66,3.92,289.01,292.27,285.84,296.98,282.62,China,156
70,10,8471436.0,Shanghai,CHN,2021-11-12 00:00:00,65.05,1021.08,3.81,288.73,291.41,286.03,295.62,279.56,China,156
71,11,8557836.0,Shanghai,CHN,2021-11-13 00:00:00,66.74,1021.39,3.42,288.37,291.86,284.73,295.17,276.73,China,156
72,12,8644236.0,Shanghai,CHN,2021-11-14 00:00:00,64.38,1021.88,3.28,288.13,291.47,284.7,293.84,279.54,China,156
73,13,8730636.0,Shanghai,CHN,2021-11-15 00:00:00,68.03,1022.11,3.53,288.75,292.07,284.95,295.29,280.41,China,156
74,14,8817036.0,Shanghai,CHN,2021-11-16 00:00:00,75.56,1019.37,4.02,289.05,291.41,286.53,298.36,281.95,China,156
75,15,8903436.0,Shanghai,CHN,2021-11-17 00:00:00,76.48,1019.68,4.84,288.75,292.01,284.89,299.83,278.15,China,156
76,16,8989836.0,Shanghai,CHN,2021-11-18 00:00:00,69.51,1022.38,4.42,286.34,289.83,282.89,301.13,277.15,China,156
77,17,9076236.0,Shanghai,CHN,2021-11-19 00:00:00,69.24,1023.54,3.13,286.36,289.65,282.98,295.15,278.61,China,156
78,18,9162636.0,Shanghai,CHN,2021-11-20 00:00:00,71.9,1022.88,3.44,287.26,290.16,284.69,293.26,280.67,China,156
79,19,9249036.0,Shanghai,CHN,2021-11-21 00:00:00,79.94,1021.08,3.73,288.74,290.71,286.18,295.15,282.67,China,156
80,20,9335436.0,Shanghai,CHN,2021-11-22 00:00:00,80.38,1023.07,4.35,287.31,290.03,284.77,295.18,278.68,China,156
81,21,9421836.0,Shanghai,CHN,2021-11-23 00:00:00,78.63,1022.78,4.33,286.96,289.79,284.43,295.62,275.2,China,156
82,22,9508236.0,Shanghai,CHN,2021-11-24 00:00:00,77.38,1022.99,4.77,285.26,289.37,281.21,295.69,275.68,China,156
83,23,9594636.0,Shanghai,CHN,2021-11-25 00:00:00,74.78,1023.53,4.0,284.28,286.94,281.28,292.63,274.52,China,156
84,24,9681036.0,Shanghai,CHN,2021-11-26 00:00:00,74.47,1023.85,4.06,283.88,287.54,280.74,293.15,271.68,China,156
85,25,9767436.0,Shanghai,CHN,2021-11-27 00:00:00,69.58,1025.44,4.27,283.65,287.19,280.0,293.15,273.68,China,156
86,26,9853836.0,Shanghai,CHN,2021-11-28 00:00:00,66.1,1026.24,3.63,283.9,287.09,281.09,292.72,274.61,China,156
87,27,9940236.0,Shanghai,CHN,2021-11-29 00:00:00,72.0,1025.52,3.35,284.87,287.55,281.9,292.62,274.02,China,156
88,28,10026636.0,Shanghai,CHN,2021-11-30 00:00:00,72.93,1024.45,4.23,284.99,288.27,282.12,293.15,278.86,China,156
89,29,10113036.0,Shanghai,CHN,2021-12-01 00:00:00,68.05,1026.28,4.29,284.33,287.58,281.33,294.62,272.39,China,156
90,0,9341797.0,Mexico City,MEX,2021-11-02 00:00:00,64.0,1023.15,2.87,288.21,294.52,282.97,300.56,277.55,Mexico,484
91,1,9428197.0,Mexico City,MEX,2021-11-03 00:00:00,62.62,1024.86,2.52,287.54,294.95,281.18,299.26,276.63,Mexico,484
92,2,9514597.0,Mexico City,MEX,2021-11-04 00:00:00,62.48,1023.8,2.59,288.01,295.58,281.44,298.58,277.15,Mexico,484
93,3,9600997.0,Mexico City,MEX,2021-11-05 00:00:00,62.81,1020.48,2.46,287.64,295.81,280.88,299.36,273.91,Mexico,484
94,4,9687397.0,Mexico City,MEX,2021-11-06 00:00:00,59.81,1003.67,2.39,288.17,296.37,281.05,300.62,277.55,Mexico,484
95,5,9773797.0,Mexico City,MEX,2021-11-07 00:00:00,58.44,1025.05,2.9,288.81,296.24,281.61,299.84,277.2,Mexico,484
96,6,9860197.0,Mexico City,MEX,2021-11-08 00:00:00,54.75,1025.05,2.85,288.75,296.45,281.11,300.13,277.51,Mexico,484
97,7,9946597.0,Mexico City,MEX,2021-11-09 00:00:00,59.8,1025.12,2.57,288.47,296.0,281.49,298.63,277.2,Mexico,484
98,8,10032997.0,Mexico City,MEX,2021-11-10 00:00:00,63.01,1025.36,2.46,288.66,296.31,281.85,299.23,279.24,Mexico,484
99,9,10119397.0,Mexico City,MEX,2021-11-11 00:00:00,59.71,1024.88,2.49,288.84,296.36,281.94,299.15,278.71,Mexico,484
100,10,10205797.0,Mexico City,MEX,2021-11-12 00:00:00,60.39,1011.69,2.71,288.74,295.79,282.62,299.15,279.95,Mexico,484
101,11,10292197.0,Mexico City,MEX,2021-11-13 00:00:00,60.53,1025.98,3.27,287.88,294.23,282.16,299.15,277.42,Mexico,484
102,12,10378597.0,Mexico City,MEX,2021-11-14 00:00:00,63.12,1021.97,3.0,286.94,294.27,280.59,299.15,277.14,Mexico,484
103,13,10464997.0,Mexico City,MEX,2021-11-15 00:00:00,62.76,1023.11,2.76,287.75,294.84,281.52,298.15,278.18,Mexico,484
104,14,10551397.0,Mexico City,MEX,2021-11-16 00:00:00,61.36,994.07,2.87,287.41,295.39,280.55,298.93,275.64,Mexico,484
105,15,10637797.0,Mexico City,MEX,2021-11-17 00:00:00,60.1,1004.63,2.48,287.61,295.52,279.89,299.15,276.38,Mexico,484
106,16,10724197.0,Mexico City,MEX,2021-11-18 00:00:00,57.75,1007.47,2.53,287.13,294.78,280.02,298.15,275.71,Mexico,484
107,17,10810597.0,Mexico City,MEX,2021-11-19 00:00:00,61.63,1008.84,2.55,287.2,295.35,280.34,297.98,271.92,Mexico,484
108,18,10896997.0,Mexico City,MEX,2021-11-20 00:00:00,60.79,1019.14,2.69,287.4,295.13,280.87,298.12,277.31,Mexico,484
109,19,10983397.0,Mexico City,MEX,2021-11-21 00:00:00,60.89,1014.14,2.56,287.72,295.83,280.71,298.27,277.42,Mexico,484
110,20,11069797.0,Mexico City,MEX,2021-11-22 00:00:00,59.86,1008.47,2.46,287.52,295.56,280.52,297.96,277.75,Mexico,484
111,21,11156197.0,Mexico City,MEX,2021-11-23 00:00:00,58.85,1010.58,2.45,287.19,295.44,279.7,298.25,275.43,Mexico,484
112,22,11242597.0,Mexico City,MEX,2021-11-24 00:00:00,57.36,1014.62,2.23,287.26,295.48,279.52,298.15,274.08,Mexico,484
113,23,11328997.0,Mexico City,MEX,2021-11-25 00:00:00,54.46,1019.7,2.4,287.64,296.18,279.83,298.42,274.67,Mexico,484
114,24,11415397.0,Mexico City,MEX,2021-11-26 00:00:00,55.78,1020.89,2.45,287.58,295.61,280.0,298.26,274.15,Mexico,484
115,25,11501797.0,Mexico City,MEX,2021-11-27 00:00:00,55.4,1026.03,2.26,286.8,295.69,278.45,299.15,269.48,Mexico,484
116,26,11588197.0,Mexico City,MEX,2021-11-28 00:00:00,50.81,1022.78,2.44,287.14,296.35,277.97,299.2,271.02,Mexico,484
117,27,11674597.0,Mexico City,MEX,2021-11-29 00:00:00,51.88,1025.31,2.6,287.41,295.61,279.22,298.74,273.97,Mexico,484
118,28,11760997.0,Mexico City,MEX,2021-11-30 00:00:00,59.35,1008.74,2.67,287.22,296.23,279.54,299.17,273.89,Mexico,484
119,29,11847397.0,Mexico City,MEX,2021-12-01 00:00:00,54.07,1024.41,2.66,287.72,296.71,279.09,299.51,273.25,Mexico,484
120,0,6171830.0,Cairo,EGY,2021-11-02 00:00:00,58.88,1015.91,3.67,294.6,299.98,289.84,304.48,285.15,Egypt,818
121,1,6258230.0,Cairo,EGY,2021-11-03 00:00:00,60.98,1015.9,3.42,294.33,299.52,289.42,303.15,283.32,Egypt,818
122,2,6344630.0,Cairo,EGY,2021-11-04 00:00:00,61.63,1016.11,3.35,294.07,299.17,289.49,303.15,284.2,Egypt,818
123,3,6431030.0,Cairo,EGY,2021-11-05 00:00:00,63.3,1016.26,3.48,293.59,298.55,288.92,303.93,282.27,Egypt,818
124,4,6517430.0,Cairo,EGY,2021-11-06 00:00:00,62.91,1016.12,3.36,294.14,298.78,288.93,301.03,282.36,Egypt,818
125,5,6603830.0,Cairo,EGY,2021-11-07 00:00:00,60.84,1015.83,3.5,294.14,298.75,289.55,302.65,282.71,Egypt,818
126,6,6690230.0,Cairo,EGY,2021-11-08 00:00:00,62.71,1016.26,3.21,293.76,298.54,289.33,301.34,284.65,Egypt,818
127,7,6776630.0,Cairo,EGY,2021-11-09 00:00:00,64.14,1015.97,3.21,293.58,298.41,289.03,302.09,284.01,Egypt,818
128,8,6863030.0,Cairo,EGY,2021-11-10 00:00:00,64.66,1016.13,3.43,293.62,298.35,289.33,302.09,283.78,Egypt,818
129,9,6949430.0,Cairo,EGY,2021-11-11 00:00:00,63.62,1016.88,3.41,293.37,297.92,288.68,302.1,278.15,Egypt,818
130,10,7035830.0,Cairo,EGY,2021-11-12 00:00:00,61.97,1016.68,3.65,293.47,298.51,288.66,304.97,280.51,Egypt,818
131,11,7122230.0,Cairo,EGY,2021-11-13 00:00:00,61.02,1015.97,3.57,293.18,298.42,288.08,304.97,280.49,Egypt,818
132,12,7208630.0,Cairo,EGY,2021-11-14 00:00:00,59.34,1015.18,3.66,293.41,298.72,288.51,304.97,281.78,Egypt,818
133,13,7295030.0,Cairo,EGY,2021-11-15 00:00:00,64.0,1015.7,3.19,292.6,297.28,287.9,300.15,282.13,Egypt,818
134,14,7381430.0,Cairo,EGY,2021-11-16 00:00:00,64.71,1015.75,3.6,292.58,296.86,287.69,300.15,282.39,Egypt,818
135,15,7467830.0,Cairo,EGY,2021-11-17 00:00:00,64.69,1016.26,3.53,292.67,297.47,287.99,299.15,282.2,Egypt,818
136,16,7554230.0,Cairo,EGY,2021-11-18 00:00:00,60.62,1015.78,3.33,292.74,297.86,287.56,299.97,282.84,Egypt,818
137,17,7640630.0,Cairo,EGY,2021-11-19 00:00:00,59.43,1016.21,2.84,292.43,297.92,286.74,300.0,280.87,Egypt,818
138,18,7727030.0,Cairo,EGY,2021-11-20 00:00:00,62.44,1016.47,3.2,291.66,296.8,286.6,300.15,281.11,Egypt,818
139,19,7813430.0,Cairo,EGY,2021-11-21 00:00:00,62.24,1016.13,3.22,291.21,295.95,286.79,300.15,278.95,Egypt,818
140,20,7899830.0,Cairo,EGY,2021-11-22 00:00:00,56.21,1016.13,2.8,291.16,295.87,286.38,301.15,276.95,Egypt,818
141,21,7986230.0,Cairo,EGY,2021-11-23 00:00:00,63.2,1016.69,3.28,290.67,294.98,286.68,297.15,278.93,Egypt,818
142,22,8072630.0,Cairo,EGY,2021-11-24 00:00:00,63.94,1016.94,3.41,289.77,294.48,285.72,298.15,274.15,Egypt,818
143,23,8159030.0,Cairo,EGY,2021-11-25 00:00:00,57.98,1015.67,3.32,290.53,295.52,285.79,303.15,276.76,Egypt,818
144,24,8245430.0,Cairo,EGY,2021-11-26 00:00:00,53.81,1015.42,3.89,291.06,296.73,286.69,306.05,276.32,Egypt,818
145,25,8331830.0,Cairo,EGY,2021-11-27 00:00:00,55.26,1017.16,2.79,290.6,296.63,286.14,303.95,276.02,Egypt,818
146,26,8418230.0,Cairo,EGY,2021-11-28 00:00:00,59.13,1018.25,2.85,290.57,295.51,285.72,298.15,276.67,Egypt,818
147,27,8504630.0,Cairo,EGY,2021-11-29 00:00:00,58.04,1018.44,3.14,290.41,295.47,285.65,298.15,280.32,Egypt,818
148,28,8591030.0,Cairo,EGY,2021-11-30 00:00:00,57.66,1017.22,3.84,290.22,294.9,285.45,296.15,278.7,Egypt,818
149,29,8677430.0,Cairo,EGY,2021-12-01 00:00:00,59.07,1017.38,3.69,290.37,295.88,285.39,300.15,279.26,Egypt,818
150,0,7086539.0,Mumbai,IND,2021-11-02 00:00:00,62.5,1014.36,3.62,302.76,306.57,299.79,309.71,296.61,India,356
151,1,7172939.0,Mumbai,IND,2021-11-03 00:00:00,66.25,1014.86,3.61,302.74,306.33,299.97,309.66,298.15,India,356
152,2,7259339.0,Mumbai,IND,2021-11-04 00:00:00,68.68,1014.77,3.41,302.55,305.98,299.28,309.15,295.15,India,356
153,3,7345739.0,Mumbai,IND,2021-11-05 00:00:00,67.33,1014.73,3.5,302.42,305.88,299.17,308.27,296.15,India,356
154,4,7432139.0,Mumbai,IND,2021-11-06 00:00:00,69.65,1014.84,3.33,302.02,306.21,298.72,309.48,294.15,India,356
155,5,7518539.0,Mumbai,IND,2021-11-07 00:00:00,69.36,1014.83,3.63,301.62,305.33,298.45,308.65,295.15,India,356
156,6,7604939.0,Mumbai,IND,2021-11-08 00:00:00,67.82,1014.63,3.52,301.56,305.45,298.02,308.84,292.15,India,356
157,7,7691339.0,Mumbai,IND,2021-11-09 00:00:00,67.9,1014.57,3.36,301.68,305.51,298.2,309.48,294.15,India,356
158,8,7777739.0,Mumbai,IND,2021-11-10 00:00:00,68.81,1014.35,3.25,301.29,305.63,297.69,309.4,294.15,India,356
159,9,7864139.0,Mumbai,IND,2021-11-11 00:00:00,67.17,1014.51,3.15,301.16,305.55,297.36,308.66,293.15,India,356
160,10,7950539.0,Mumbai,IND,2021-11-12 00:00:00,65.86,1014.47,3.04,301.13,305.28,297.26,308.15,293.15,India,356
161,11,8036939.0,Mumbai,IND,2021-11-13 00:00:00,70.29,1014.58,3.01,301.05,305.12,297.84,308.15,296.06,India,356
162,12,8123339.0,Mumbai,IND,2021-11-14 00:00:00,71.56,1014.41,3.1,300.98,304.74,297.8,308.15,296.15,India,356
163,13,8209739.0,Mumbai,IND,2021-11-15 00:00:00,70.8,1014.28,2.96,301.34,304.78,297.99,308.4,295.15,India,356
164,14,8296139.0,Mumbai,IND,2021-11-16 00:00:00,69.2,1014.26,3.24,301.57,305.6,298.5,308.51,296.15,India,356
165,15,8382539.0,Mumbai,IND,2021-11-17 00:00:00,66.4,1014.15,3.39,301.64,305.38,298.29,308.15,294.59,India,356
166,16,8468939.0,Mumbai,IND,2021-11-18 00:00:00,68.24,1015.05,3.18,301.1,304.73,298.25,307.15,294.59,India,356
167,17,8555339.0,Mumbai,IND,2021-11-19 00:00:00,69.25,1015.49,3.38,301.16,304.88,298.07,308.16,293.89,India,356
168,18,8641739.0,Mumbai,IND,2021-11-20 00:00:00,68.48,1014.46,2.94,301.05,304.98,298.12,309.06,293.75,India,356
169,19,8728139.0,Mumbai,IND,2021-11-21 00:00:00,68.33,1014.7,3.06,301.13,304.92,297.71,308.16,293.15,India,356
170,20,8814539.0,Mumbai,IND,2021-11-22 00:00:00,69.3,1014.94,3.16,301.07,305.27,297.84,309.15,294.51,India,356
171,21,8900939.0,Mumbai,IND,2021-11-23 00:00:00,67.87,1015.28,3.13,300.73,304.68,297.67,308.65,294.63,India,356
172,22,8987339.0,Mumbai,IND,2021-11-24 00:00:00,67.14,1015.16,3.08,300.95,304.68,297.74,308.15,295.15,India,356
173,23,9073739.0,Mumbai,IND,2021-11-25 00:00:00,68.26,1014.99,3.1,300.9,304.46,297.63,308.16,295.15,India,356
174,24,9160139.0,Mumbai,IND,2021-11-26 00:00:00,67.84,1014.93,3.27,300.95,305.23,297.77,309.16,294.15,India,356
175,25,9246539.0,Mumbai,IND,2021-11-27 00:00:00,65.0,1015.02,3.43,300.87,305.04,297.49,309.16,293.15,India,356
176,26,9332939.0,Mumbai,IND,2021-11-28 00:00:00,67.4,1014.62,3.08,300.65,304.8,297.46,308.65,294.15,India,356
177,27,9419339.0,Mumbai,IND,2021-11-29 00:00:00,68.98,1015.04,2.94,300.43,304.44,297.18,308.65,293.15,India,356
178,28,9505739.0,Mumbai,IND,2021-11-30 00:00:00,67.81,1015.18,3.04,300.6,304.52,297.21,308.81,293.1,India,356
179,29,9592139.0,Mumbai,IND,2021-12-01 00:00:00,68.88,1014.87,3.2,300.62,304.53,297.39,308.66,292.91,India,356
180,0,7627870.0,Beijing,CHN,2021-11-02 00:00:00,58.39,1022.09,2.45,282.14,288.83,276.72,293.15,271.15,China,156
181,1,7714270.0,Beijing,CHN,2021-11-03 00:00:00,66.88,1022.83,1.93,280.88,288.19,274.58,291.15,270.15,China,156
182,2,7800670.0,Beijing,CHN,2021-11-04 00:00:00,72.9,1020.19,2.32,280.61,287.11,275.1,289.88,271.15,China,156
183,3,7887070.0,Beijing,CHN,2021-11-05 00:00:00,66.91,1021.35,2.9,280.73,287.06,275.37,291.15,272.15,China,156
184,4,7973470.0,Beijing,CHN,2021-11-06 00:00:00,64.99,1022.96,2.75,280.15,285.09,275.5,291.75,268.67,China,156
185,5,8059870.0,Beijing,CHN,2021-11-07 00:00:00,54.8,1025.13,3.05,280.61,286.96,274.87,293.15,267.26,China,156
186,6,8146270.0,Beijing,CHN,2021-11-08 00:00:00,58.16,1023.84,2.07,280.35,286.85,274.51,290.47,266.78,China,156
187,7,8232670.0,Beijing,CHN,2021-11-09 00:00:00,62.33,1022.69,2.31,281.32,286.33,275.7,289.81,268.35,China,156
188,8,8319070.0,Beijing,CHN,2021-11-10 00:00:00,56.87,1022.32,2.69,281.14,286.39,276.44,290.57,271.15,China,156
189,9,8405470.0,Beijing,CHN,2021-11-11 00:00:00,61.66,1021.54,2.48,280.5,285.28,276.36,292.56,270.15,China,156
190,10,8491870.0,Beijing,CHN,2021-11-12 00:00:00,58.9,1021.46,2.66,280.64,285.84,276.17,294.38,270.57,China,156
191,11,8578270.0,Beijing,CHN,2021-11-13 00:00:00,57.42,1021.32,3.2,279.79,284.77,274.77,290.44,266.77,China,156
192,12,8664670.0,Beijing,CHN,2021-11-14 00:00:00,55.11,1021.09,2.79,278.8,284.06,272.89,292.34,266.15,China,156
193,13,8751070.0,Beijing,CHN,2021-11-15 00:00:00,57.73,1022.95,1.92,279.07,284.63,273.69,290.45,268.15,China,156
194,14,8837470.0,Beijing,CHN,2021-11-16 00:00:00,59.62,1021.75,2.34,278.38,283.49,274.04,288.49,268.15,China,156
195,15,8923870.0,Beijing,CHN,2021-11-17 00:00:00,56.11,1023.66,3.43,277.91,282.98,272.7,288.97,266.89,China,156
