,aug_id,gdacs:eventid,sample_frequency,title,description,units,source_abbr,link,domain,subdomain,tags,gdacs:country,gdacs:iso3,timestamps,lonlat,fromdate,region_name,region_code,location,state,country,city,locality,nieghbourhood
10,GDACS_1308344,1308344,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:177.58km) in Indonesia 01/02/2022 00:18 UTC, About 71000 people within 100km.","On 2/1/2022 12:18:52 AM, an earthquake occurred in Indonesia potentially affecting About 71000 people within 100km. The earthquake had Magnitude 4.7M, Depth:177.58km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308344,gdacs.org,www,"['EQ', 'Green']",Indonesia,IDN,"['Tue, 01 Feb 2022 00:18:52 GMT', 'Tue, 01 Feb 2022 00:18:52 GMT']","['-7.5493', '127.5443']","Tue, 01 Feb 2022 00:18:52 GMT",East Asia & Pacific,EAS,"Jerusu, Maluku, Indonesia",Maluku,Indonesia,Jerusu,,
11,GDACS_1015249,1015249,7 days,Drought is on going in Spain,The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015249,gdacs.org,www,"['DR', 'Green']",Spain,ESP,"['Thu, 21 Oct 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['37.743', '-3.533']","Thu, 21 Oct 2021 00:00:00 GMT",Europe & Central Asia,ECS,"Torres, Andalusia, Spain",Andalusia,Spain,Torres,,
12,GDACS_1015088,1015088,7 days,Drought is on going in United States,The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015088,gdacs.org,www,"['DR', 'Green']",United States,USA,"['Wed, 21 Jul 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['39.072', '-103.218']","Wed, 21 Jul 2021 00:00:00 GMT",North America,NAC,"Wareland, Colorado, United States",Colorado,United States,Wareland,,
13,GDACS_1015281,1015281,7 days,"Drought is on going in Democratic Republic of Congo, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe",The  Drought alert level is Orange.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015281,gdacs.org,www,"['DR', 'Orange']","Democratic Republic of Congo, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe",COD,"['Thu, 21 Oct 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['-11.206', '34.436']","Thu, 21 Oct 2021 00:00:00 GMT",Sub-Saharan Africa,SSF,"Chiziwa, Northern Region, Malawi",Northern Region,Malawi,Chiziwa,,
14,GDACS_1015257,1015257,7 days,"Drought is on going in Syria, Turkey",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015257,gdacs.org,www,"['DR', 'Green']","Syria, Turkey",SYR,"['Thu, 21 Oct 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['35.743', '37.997']","Thu, 21 Oct 2021 00:00:00 GMT",Middle East & North Africa,MEA,"Khirbat Muḩammad Halīl, Aleppo, Syria",Aleppo,Syria,Khirbat Muḩammad Halīl,,
15,GDACS_1015187,1015187,7 days,"Drought is on going in Belize, Costa Rica, Guatemala, Honduras, Nicaragua",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015187,gdacs.org,www,"['DR', 'Green']","Belize, Costa Rica, Guatemala, Honduras, Nicaragua",BLZ,"['Tue, 21 Sep 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['14.417', '-86.837']","Tue, 21 Sep 2021 00:00:00 GMT",Latin America & Caribbean,LCN,"Agua Fría, Francisco Morazán, Honduras",Francisco Morazán,Honduras,Agua Fría,,
16,GDACS_1015039,1015039,7 days,"Drought is on going in Angola, Democratic Republic of Congo, Republic of Congo",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1015039,gdacs.org,www,"['DR', 'Green']","Angola, Democratic Republic of Congo, Republic of Congo",AGO,"['Wed, 21 Jul 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['-5', '13.5']","Wed, 21 Jul 2021 00:00:00 GMT",Sub-Saharan Africa,SSF,"Kintadi, Bas-Congo, DR Congo",Bas-Congo,DR Congo,Kintadi,,
17,GDACS_1014958,1014958,7 days,"Drought is on going in Argentina, Chile",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014958,gdacs.org,www,"['DR', 'Green']","Argentina, Chile",ARG,"['Wed, 21 Oct 2020 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['-38.225', '-72.609']","Wed, 21 Oct 2020 00:00:00 GMT",Latin America & Caribbean,LCN,"Quichamahuida, Araucanía, Chile",Araucanía,Chile,Quichamahuida,,
18,GDACS_1014742,1014742,7 days,"Drought is on going in Ethiopia, Uganda",The  Drought alert level is Orange.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014742,gdacs.org,www,"['DR', 'Orange']","Ethiopia, Uganda",ETH,"['Sun, 21 Feb 2021 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['5.249', '39.249']","Sun, 21 Feb 2021 00:00:00 GMT",Sub-Saharan Africa,SSF,"Galu, Oromiya, Ethiopia",Oromiya,Ethiopia,Galu,,
19,GDACS_1014320,1014320,7 days,"Drought is on going in Canada, United States",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014320,gdacs.org,www,"['DR', 'Green']","Canada, United States",CAN,"['Fri, 21 Feb 2020 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['47.995', '-111.5']","Fri, 21 Feb 2020 00:00:00 GMT",North America,NAC,"East Community, Montana, United States",Montana,United States,East Community,,
20,GDACS_1014473,1014473,7 days,"Drought is on going in Iran, Kyrgyzstan, Kazakhstan, Tajikistan, Turkmenistan, Uzbekistan",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014473,gdacs.org,www,"['DR', 'Green']","Iran, Kyrgyzstan, Kazakhstan, Tajikistan, Turkmenistan, Uzbekistan",IRN,"['Wed, 21 Oct 2020 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['44.684', '55.077']","Wed, 21 Oct 2020 00:00:00 GMT",Middle East & North Africa,MEA,"Kamennyy, Mangghystaū, Kazakhstan",Mangghystaū,Kazakhstan,Kamennyy,,
21,GDACS_1014495,1014495,7 days,Drought is on going in Madagascar,The  Drought alert level is Red.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014495,gdacs.org,www,"['DR', 'Red']",Madagascar,MDG,"['Wed, 21 Oct 2020 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['-20.247', '46.202']","Wed, 21 Oct 2020 00:00:00 GMT",Sub-Saharan Africa,SSF,"Ambalavato, Amoron'i Mania, Madagascar",Amoron'i Mania,Madagascar,Ambalavato,,
22,GDACS_1013868,1013868,7 days,"Drought is on going in Argentina, Bolivia, Brazil, Paraguay, Uruguay",The  Drought alert level is Orange.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1013868,gdacs.org,www,"['DR', 'Orange']","Argentina, Bolivia, Brazil, Paraguay, Uruguay",ARG,"['Sat, 21 Dec 2019 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['-11.21', '-60.237']","Sat, 21 Dec 2019 00:00:00 GMT",Latin America & Caribbean,LCN,"Aldeia Capitão Moa, Rondônia, Brazil",Rondônia,Brazil,Aldeia Capitão Moa,,
23,GDACS_1014695,1014695,7 days,"Drought is on going in Algeria, Spain, Morocco, Tunisia",The  Drought alert level is Green.,,GDACS,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014695,gdacs.org,www,"['DR', 'Green']","Algeria, Spain, Morocco, Tunisia",DZA,"['Mon, 21 Dec 2020 00:00:00 GMT', 'Tue, 01 Feb 2022 00:00:00 GMT']","['34.768', '8.637']","Mon, 21 Dec 2020 00:00:00 GMT",Middle East & North Africa,MEA,"Borj Mejen Bel Abbès, Al Qaşrayn, Tunisia",Al Qaşrayn,Tunisia,Borj Mejen Bel Abbès,,
24,GDACS_1308351,1308351,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Tonga 31/01/2022 22:18 UTC, About 83000 people within 100km.","On 1/31/2022 10:18:32 PM, an earthquake occurred in Tonga potentially affecting About 83000 people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308351,gdacs.org,www,"['EQ', 'Green']",Tonga,TON,"['Mon, 31 Jan 2022 22:18:32 GMT', 'Mon, 31 Jan 2022 22:18:32 GMT']","['-20.8299', '-175.3351']","Mon, 31 Jan 2022 22:18:32 GMT",East Asia & Pacific,EAS,"Ha‘atafu, Tongatapu, Tonga",Tongatapu,Tonga,Ha‘atafu,,
25,GDACS_1308340,1308340,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in China 31/01/2022 22:01 UTC, 6040000 people within 100km.","On 1/31/2022 10:01:27 PM, an earthquake occurred in China potentially affecting 6040000 people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308340,gdacs.org,www,"['EQ', 'Green']",China,CHN,"['Mon, 31 Jan 2022 22:01:27 GMT', 'Mon, 31 Jan 2022 22:01:27 GMT']","['31.9577', '104.3423']","Mon, 31 Jan 2022 22:01:27 GMT",East Asia & Pacific,EAS,"Maluoping, Sichuan, China",Sichuan,China,Maluoping,,
26,GDACS_1308332,1308332,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:12.45km) in Chile 31/01/2022 21:36 UTC, 450000 people within 100km.","On 1/31/2022 9:36:17 PM, an earthquake occurred in Chile potentially affecting 450000 people within 100km. The earthquake had Magnitude 4.5M, Depth:12.45km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308332,gdacs.org,www,"['EQ', 'Green']",Chile,CHL,"['Mon, 31 Jan 2022 21:36:17 GMT', 'Mon, 31 Jan 2022 21:36:17 GMT']","['-29.9048', '-71.9961']","Mon, 31 Jan 2022 21:36:17 GMT",Latin America & Caribbean,LCN,"Lengua de Vaca, Coquimbo Region, Chile",Coquimbo Region,Chile,Lengua de Vaca,,
27,GDACS_1308350,1308350,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:10km) in Tonga 31/01/2022 20:07 UTC, About 83000 people within 100km.","On 1/31/2022 8:07:13 PM, an earthquake occurred in Tonga potentially affecting About 83000 people within 100km. The earthquake had Magnitude 4.7M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308350,gdacs.org,www,"['EQ', 'Green']",Tonga,TON,"['Mon, 31 Jan 2022 20:07:13 GMT', 'Mon, 31 Jan 2022 20:07:13 GMT']","['-20.6601', '-175.4481']","Mon, 31 Jan 2022 20:07:13 GMT",East Asia & Pacific,EAS,"Ha‘atafu, Tongatapu, Tonga",Tongatapu,Tonga,Ha‘atafu,,
28,GDACS_1308299,1308299,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:12.03km) in United States 31/01/2022 17:10 UTC, 460000 people within 100km.","On 1/31/2022 5:10:21 PM, an earthquake occurred in United States potentially affecting 460000 people within 100km. The earthquake had Magnitude 4.5M, Depth:12.03km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308299,gdacs.org,www,"['EQ', 'Green']",United States,USA,"['Mon, 31 Jan 2022 17:10:21 GMT', 'Mon, 31 Jan 2022 17:10:21 GMT']","['36.8563', '-97.8025']","Mon, 31 Jan 2022 17:10:21 GMT",North America,NAC,"Clyde, Oklahoma, United States",Oklahoma,United States,Clyde,,
29,GDACS_1308281,1308281,7 days,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in Kermadec Islands Region 31/01/2022 14:15 UTC, No people within 100km.","On 1/31/2022 2:15:08 PM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 4.9M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308281,gdacs.org,www,"['EQ', 'Green']",Kermadec Islands Region,,"['Mon, 31 Jan 2022 14:15:08 GMT', 'Mon, 31 Jan 2022 14:15:08 GMT']","['-29.5358', '-176.9171']","Mon, 31 Jan 2022 14:15:08 GMT",,,,,,,,
30,GDACS_1308265,1308265,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Kermadec Islands Region 31/01/2022 13:16 UTC, No people within 100km.","On 1/31/2022 1:16:42 PM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308265,gdacs.org,www,"['EQ', 'Green']",Kermadec Islands Region,,"['Mon, 31 Jan 2022 13:16:42 GMT', 'Mon, 31 Jan 2022 13:16:42 GMT']","['-29.6862', '-176.8862']","Mon, 31 Jan 2022 13:16:42 GMT",,,,,,,,
31,GDACS_1308259,1308259,7 days,"Green earthquake alert (Magnitude 5.2M, Depth:10km) in Yemen 31/01/2022 12:42 UTC, No people within 100km.","On 1/31/2022 12:42:18 PM, an earthquake occurred in Yemen potentially affecting No people within 100km. The earthquake had Magnitude 5.2M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308259,gdacs.org,www,"['EQ', 'Green']",Yemen,YEM,"['Mon, 31 Jan 2022 12:42:18 GMT', 'Mon, 31 Jan 2022 12:42:18 GMT']","['14.4453', '56.3702']","Mon, 31 Jan 2022 12:42:18 GMT",Middle East & North Africa,MEA,,,,,,
32,GDACS_1308258,1308258,7 days,"Green earthquake alert (Magnitude 5.2M, Depth:10km) in Yemen 31/01/2022 12:38 UTC, No people within 100km.","On 1/31/2022 12:38:15 PM, an earthquake occurred in Yemen potentially affecting No people within 100km. The earthquake had Magnitude 5.2M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308258,gdacs.org,www,"['EQ', 'Green']",Yemen,YEM,"['Mon, 31 Jan 2022 12:38:15 GMT', 'Mon, 31 Jan 2022 12:38:15 GMT']","['14.4243', '56.2756']","Mon, 31 Jan 2022 12:38:15 GMT",Middle East & North Africa,MEA,,,,,,
33,GDACS_1308256,1308256,7 days,"Green earthquake alert (Magnitude 5.9M, Depth:10km) in Kermadec Islands Region 31/01/2022 12:14 UTC, No people within 100km.","On 1/31/2022 12:14:35 PM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 5.9M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308256,gdacs.org,www,"['EQ', 'Green']",Kermadec Islands Region,,"['Mon, 31 Jan 2022 12:14:35 GMT', 'Mon, 31 Jan 2022 12:14:35 GMT']","['-29.5255', '-176.7864']","Mon, 31 Jan 2022 12:14:35 GMT",,,,,,,,
34,GDACS_1308253,1308253,7 days,"Green earthquake alert (Magnitude 5.2M, Depth:10km) in Yemen 31/01/2022 11:56 UTC, No people within 100km.","On 1/31/2022 11:56:37 AM, an earthquake occurred in Yemen potentially affecting No people within 100km. The earthquake had Magnitude 5.2M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308253,gdacs.org,www,"['EQ', 'Green']",Yemen,YEM,"['Mon, 31 Jan 2022 11:56:37 GMT', 'Mon, 31 Jan 2022 11:56:37 GMT']","['14.5056', '56.3894']","Mon, 31 Jan 2022 11:56:37 GMT",Middle East & North Africa,MEA,,,,,,
35,GDACS_1308248,1308248,7 days,"Green earthquake alert (Magnitude 5.4M, Depth:10km) in Kermadec Islands Region 31/01/2022 11:26 UTC, No people within 100km.","On 1/31/2022 11:26:53 AM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 5.4M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308248,gdacs.org,www,"['EQ', 'Green']",Kermadec Islands Region,,"['Mon, 31 Jan 2022 11:26:53 GMT', 'Mon, 31 Jan 2022 11:26:53 GMT']","['-29.5677', '-176.9735']","Mon, 31 Jan 2022 11:26:53 GMT",,,,,,,,
36,GDACS_1308247,1308247,7 days,"Green earthquake alert (Magnitude 5.7M, Depth:10km) in Kermadec Islands, New Zealand 31/01/2022 11:21 UTC, No people within 100km.","On 1/31/2022 11:21:45 AM, an earthquake occurred in Kermadec Islands, New Zealand potentially affecting No people within 100km. The earthquake had Magnitude 5.7M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308247,gdacs.org,www,"['EQ', 'Green']","Kermadec Islands, New Zealand",,"['Mon, 31 Jan 2022 11:21:45 GMT', 'Mon, 31 Jan 2022 11:21:45 GMT']","['-29.6471', '-177.0327']","Mon, 31 Jan 2022 11:21:45 GMT",,,,,,,,
37,GDACS_1308238,1308238,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Turkey 31/01/2022 09:30 UTC, 2190000 people within 100km.","On 1/31/2022 9:30:37 AM, an earthquake occurred in Turkey potentially affecting 2190000 people within 100km. The earthquake had Magnitude 4.5M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308238,gdacs.org,www,"['EQ', 'Green']",Turkey,TUR,"['Mon, 31 Jan 2022 09:30:37 GMT', 'Mon, 31 Jan 2022 09:30:37 GMT']","['37.972', '32.0739']","Mon, 31 Jan 2022 09:30:37 GMT",Europe & Central Asia,ECS,"Mülayim, Konya, Turkey",Konya,Turkey,Mülayim,,
38,GDACS_1308194,1308194,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:10km) in Turkey 31/01/2022 00:49 UTC, 1410000 people within 100km.","On 1/31/2022 12:49:57 AM, an earthquake occurred in Turkey potentially affecting 1410000 people within 100km. The earthquake had Magnitude 4.7M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308194,gdacs.org,www,"['EQ', 'Green']",Turkey,TUR,"['Mon, 31 Jan 2022 00:49:57 GMT', 'Mon, 31 Jan 2022 00:49:57 GMT']","['39.1661', '40.1204']","Mon, 31 Jan 2022 00:49:57 GMT",Europe & Central Asia,ECS,"Günlük, Bingöl, Turkey",Bingöl,Turkey,Günlük,,
39,GDACS_1308191,1308191,7 days,"Green earthquake alert (Magnitude 5.1M, Depth:78.31km) in Peru 31/01/2022 00:08 UTC, 170000 people within 100km.","On 1/31/2022 12:08:15 AM, an earthquake occurred in Peru potentially affecting 170000 people within 100km. The earthquake had Magnitude 5.1M, Depth:78.31km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308191,gdacs.org,www,"['EQ', 'Green']",Peru,PER,"['Mon, 31 Jan 2022 00:08:15 GMT', 'Mon, 31 Jan 2022 00:08:15 GMT']","['-14.9659', '-73.9859']","Mon, 31 Jan 2022 00:08:15 GMT",Latin America & Caribbean,LCN,"Quishuarcancha, Ayacucho, Peru",Ayacucho,Peru,Quishuarcancha,,
40,GDACS_1308184,1308184,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Honduras 30/01/2022 22:01 UTC, About 79000 people within 100km.","On 1/30/2022 10:01:10 PM, an earthquake occurred in Honduras potentially affecting About 79000 people within 100km. The earthquake had Magnitude 4.5M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308184,gdacs.org,www,"['EQ', 'Green']",Honduras,HND,"['Sun, 30 Jan 2022 22:01:10 GMT', 'Sun, 30 Jan 2022 22:01:10 GMT']","['16.8092', '-86.0896']","Sun, 30 Jan 2022 22:01:10 GMT",Latin America & Caribbean,LCN,"Pocalis, Atlántida, Honduras",Atlántida,Honduras,Pocalis,,
